	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
ABCD2	0	0.002426175	0.00026103	0.000734035	0.000496622	0.002582596	0	0	0.000204184
ABCD3	0.031442926	0.039382113	0.032639288	0.035384031	0.033606661	0.033056146	0.037611628	0.029803552	0.031225696
ABCD4	0.023728851	0.085772658	0.036966028	0.096033939	0.088117434	0.075352223	0.051870051	0.043202248	0.056411007
ABCE1	0.061494242	0.14756692	0.129901919	0.129111744	0.153177702	0.170307518	0.133818432	0.17115235	0.098231869
ABCF1	0.204997038	0.163673259	0.129237923	0.171143577	0.18139402	0.152248756	0.205948378	0.271020552	0.184026854
ABCF2	0.048266108	0.060520152	0.064717582	0.075036453	0.095858239	0.081953587	0.075530184	0.084074725	0.056725617
ABCF3	0.033632714	0.057764301	0.03339941	0.06578908	0.067919542	0.043625525	0.054327266	0.052495488	0.056664707
ABCG1	0.072230361	0.164279983	0.241945692	0.272308966	0.253965418	0.259890721	0.181194	0.146594095	0.229482289
ABCG2	0.000352847	0.06529066	0.002321152	0.031603014	0.016473121	0.019618936	0.000975989	0	0.008393939
ABHD1	0.000603282	0.004046447	0.001604985	0.002722601	0.004291466	0.002468433	0.002522209	0.004280436	0.002110448
ABHD10	0.008450288	0.047425667	0.019358364	0.041554952	0.03786847	0.030962181	0.018728831	0.032787449	0.025095891
ABHD11	0.013011577	0.124113635	0.030632123	0.104317604	0.101599869	0.112103233	0.035971781	0.026415776	0.032864247
ABHD12	0.109402402	0.348923336	0.288996888	0.495246141	0.596891438	0.491791206	0.361988124	0.272455776	0.374102413
ABHD12B	0	0	0.011248144	0.001166049	0.001326182	0.002211729	0.000428045	0	0
ABHD13	0.06519142	0.074415856	0.063051864	0.077098843	0.080086933	0.072552047	0.055357613	0.05705125	0.095611178
ABHD14A	0.006515746	0.020147521	0.006626441	0.024485422	0.018019392	0.013693014	0.013382562	0.008543585	0.013644991
ABHD14B	0.136219362	0.193613782	0.184670875	0.214892183	0.271827617	0.291548319	0.277854173	0.161488009	0.190445414
ABHD15	0.009638809	0.057822715	0.038646999	0.065259027	0.064304318	0.075098681	0.043748364	0.017832331	0.025770601
ABHD16A	0.088824263	0.127651837	0.147366733	0.163319065	0.18738398	0.158798941	0.13460281	0.174147303	0.140430263
ABHD17A	0.094058647	0.098913692	0.060378338	0.104767967	0.08029139	0.063583982	0.088128266	0.109413968	0.081695785
ABHD17B	0.039746166	0.040404162	0.021153669	0.027052721	0.011547508	0.02569895	0.026416984	0.033698923	0.04242569
ABHD17C	0.081525802	0.006964859	0.024623449	0.004467933	0.008326543	0.001838753	0.021795635	0.053741174	0.032601044
ABHD18	0.031608233	0.083699239	0.041978354	0.067145236	0.061012055	0.054649146	0.037102297	0.037095506	0.055408995
ABHD2	0.175936831	0.182559777	0.145801544	0.162931765	0.19516256	0.15376274	0.217000346	0.183356875	0.258786846
ABHD3	0.052425495	0.124050273	0.082008973	0.137899581	0.096589817	0.101121369	0.059530989	0.068519293	0.090294578
ABHD4	0.004890641	0.026050189	0.018809251	0.030762154	0.030254692	0.022314715	0.02115762	0.008744484	0.027989078
ABHD5	0.286997203	0.261912009	0.23562892	0.196165152	0.232800568	0.319318388	0.320440762	0.214911095	0.477699651
ABHD6	0.042503588	0.035926921	0.029163571	0.054051851	0.082593592	0.04763058	0.052386042	0.04853721	0.060044078
ABHD8	0.01753973	0.05416987	0.029654793	0.069079904	0.059356796	0.053574381	0.03070627	0.037127271	0.072139235
ABI1	0.187865961	0.304534407	0.300647789	0.33856611	0.326568243	0.341366507	0.203121529	0.355183944	0.269401272
ABI2	0.042572129	0.09460896	0.099521028	0.079114512	0.108145902	0.104460117	0.085198776	0.041347014	0.065504963
ABI3	0.105522809	0.180933637	0.16032523	0.342591434	0.412196365	0.317348689	0.196060695	0.320247523	0.121072744
ABI3BP	0	0.000465844	0	0.000466435	0.000281179	0.000640917	0	0	0
ABL1	0.027044592	0.041674134	0.018530748	0.036060022	0.023992981	0.027322473	0.047289521	0.022406774	0.029918252
ABL2	0.443884064	0.631733755	0.777448069	0.543538413	0.364009055	0.727753027	0.515704175	0.541535258	0.787708617
ABLIM1	0.002525958	0.002531682	0.004144583	0.00277936	0.002482462	0.001841028	0.00422435	0.00304499	0.001082996
ABLIM2	0.001414996	0.010731488	0.001587992	0.00518579	0.002573582	0.006094736	0.00047019	0.004531357	0.00457204
ABLIM3	0.006165264	0.018250752	0.004741147	0.020763095	0.006843751	0.002894166	0.001091575	0.012405103	0.012054857
ABO	0.000688174	0.001808984	0.002497273	0.001273032	0.001197629	0.002011565	0.001238662	0.000914039	0.00057837
ABR	0.140497576	0.127289194	0.124488479	0.153645219	0.117389129	0.098252624	0.129051853	0.199550203	0.16786346
ABRA	0	0	0	0	0	0.000264807	0	0	0
ABRACL	0.574271533	0.332590046	0.35099466	0.483182361	0.470783652	0.312667389	0.487482439	0.701689609	0.48121722
ABT1	0.079463767	0.07314554	0.075497325	0.085351186	0.091098379	0.060194831	0.078019467	0.096025768	0.097612907
ABTB1	0.169524708	0.171230603	0.08944515	0.154339836	0.140316532	0.151018561	0.126438086	0.093454326	0.118088794
ABTB2	0.009953025	0.011612809	0.011835146	0.005112343	0.002084824	0.007185383	0.005006529	0.010577388	0.006451622
AC002401.1	0	0	0	0	0	0	0	0	0
AC002456.2	0.030426665	0.016104425	0.095634993	0.011824589	0.012048226	0.052348033	0.031514357	0.030561549	0.059635825
AC003092.1	0.006601107	0	0.000704076	0	0	0	0	0.002836988	0.003776281
AC004069.2	0.014571859	0.010769366	0.011617015	0.010245306	0.001506057	0.009658824	0.005615203	0.006495965	0.007362766
AC004893.11	0.007071542	0.004885283	0.002383273	0.004102747	0.002702032	0.003578881	0.004683129	0.002579315	0.006341099
AC004988.1	0.001039333	0.001862178	0.003665813	0.004113663	0.000784053	0.001026495	0	0.002910353	0.018620938
AC005224.2	0	0	0	0.000249032	0.000227298	0.000804128	0.000475489	0	0
AC005498.3	0	0.001209224	0.001276329	0.000803743	0.001270734	0.00163585	0.000404012	0	0.000185786
AC006369.2	0	0	0	0	0	0	0	0	0
AC006482.1	0	0.001144939	0	0.000122464	0.000788582	0.000220319	0	0	0
AC006994.2	0.001798155	0.017889502	0.015467367	0.012559775	0.004651527	0.014725259	0.004518438	0.006677162	0.005052164
AC007009.1	9.98E-05	0.004347093	0.005915723	0.001814134	0.002355131	0.00292892	0.001324265	0	0.000710293
AC007292.3	0.001376564	0.000478587	0.000641939	0.000364645	0	0.000458636	0	0	0
AC007319.1	0.001163088	0.001521946	0.000749141	0.000248064	0.000477889	0.00223288	0.001791195	0	0.000531988
AC007620.3	0.001398079	0.006210261	0.002869466	0.005183727	0.007428499	0.00400535	0.002549041	0.001442749	0.004378372
AC007879.2	0	0.004480493	0	0.001109015	0.000321268	0.00163937	0	0.000529894	0.000424209
AC007880.1	0.000556252	0	0.001790779	0.000201329	0	0	0	0	0
AC007906.1	0	0	0	0.000269436	0.000734156	0.000225934	0	0	0
AC007950.2	0.005087685	0.002052646	0.007901679	0.004132986	0.00167582	0.005572345	0.001403059	0.001470876	0.005122634
AC008074.1	0.002146926	0.00206258	0.003242027	0.001277875	0.002088593	0.000445777	0.001505612	0.001998421	0.002197279
AC008277.1	0	0.000715258	0	0	0	0.00067474	0	0	0
AC008440.10	0.001239091	0.000610066	0.000355732	5.62E-05	0	0	0	0.002234318	0.000603486
AC008522.1	0.002618165	0.002382756	0.000733944	0.000734368	0.00124199	0.000940846	0.00048227	0.001024821	0.000796299
AC008592.4	0.002020801	0.002794847	0.002888335	0.0020407	0	0.003300848	0.002202308	0.003005357	0.003715118
AC008937.2	0.000303148	0.001118778	0	0.000746648	0.000722464	0.000502793	0	0	0.000826032
AC009065.4	0.004383451	0.00416095	0.003850503	0.002002058	0.004315126	0.002803906	0.003934347	0.000770162	0.003146327
AC009120.4	0	0.00065944	0	0.000179006	0.00027126	0.00113524	0	0	0
AC009133.22	0	0	0	0	0.000733312	0	0	0	0
AC009299.2	0	0	0	0.000199198	0.000466144	0.000417764	0	0	0
AC009299.3	0.001585095	0.002562491	0.002653719	0.002726623	0.003939671	0.004243247	0.003707207	0.002859717	0.001177084
AC009303.1	0.000347646	0.002408616	0.001210705	0.000317769	0.000759068	0	0	0	0
AC009495.2	0.001454161	0.000149401	0.005048973	0.000658739	0.001273689	0	0.003563605	0.003656994	0.000210009
AC009506.1	0.018478664	0.039679556	0.028732368	0.030370403	0.027757612	0.038395476	0.021671069	0.019157811	0.040372977
AC009542.2	0.000175782	0.008285818	0.004234791	0.007071172	0.00424984	0.004040948	0.002078303	0.003522576	0.001278576
AC009961.3	0.007726783	0.014133844	0.018026734	0.018242348	0.020761333	0.021460162	0.01365248	0.006328452	0.011053804
AC010642.1	0.000874954	0.003774957	0.001875606	0.002176387	0.002641683	0.001166856	0.000510934	0.000595709	0.002851904
AC010894.3	0.006189474	0.006131468	0.00579889	0.006492716	0.00792655	0.007120267	0.005208176	0.002143688	0.004093387
AC010894.5	0	0.000325946	0	0	0.000499631	0.000244053	0	0	0
AC010969.1	0	0	0	0	0	0	0	0	0
AC010976.2	0	0	0.004774659	0.000317685	0.000241904	0.000419451	0.000380855	0	0
AC011747.3	0.000445319	0.000837998	0.001559818	0.000885219	0.001007359	0.001165448	0.000892641	0	0.000406129
AC012368.1	0.000890949	0.000722447	0.000786899	4.93E-05	0.000300159	0.000262158	0	0	0
AC012668.2	0	0	0	7.62E-05	0.000209922	0.000257021	0.000867414	0	0.001675136
AC015987.1	0	0	0	0	0	0	0	0	0
AC016549.1	0.006385274	0.007780693	0.003726688	0.006569655	0.004098048	0.004240231	0.004842853	0.005245392	0.010941889
AC016999.2	0.000153633	0.00066295	0	0.000134673	0	0.000269982	0.000541079	0	0.000181021
AC017002.1	0.031955703	0.00222476	0.020704663	0.003836301	0.002225649	0.002513628	0.005806393	0.017896053	0.034608118
AC017002.2	0.013256256	0.01181155	0.022697913	0.007943057	0.004696114	0.012257529	0.004004819	0.012613602	0.009277024
AC018766.4	0.000723669	0.001531804	0.000859553	0.000528103	0.000299519	0.001062795	0	0	0.000480218
AC019181.2	0	0	0	0	0	0	0	0	0
AC021224.1	0	0.000369641	0	0.00023481	0	0.000218398	0.000397613	0	0
AC022182.1	0.006124795	0.005885522	0.00528177	0.004261573	0.001711609	0.009430072	0.002281939	0	0.003693881
AC022182.3	0.004571143	0.010510648	0.011638712	0.013324428	0.006795613	0.011951737	0.005400884	0.004854379	0.002187191
AC023590.1	0.000702468	0.000822544	0.000484077	0.002598699	0.000876445	0.000873679	0.001606388	0.002485946	0.002013934
AC024084.1	0	0	0	0	0	0.000497961	0.000430595	0	0
AC024560.2	0	0.000268455	0	0	0	0	0	0	0
AC025171.1	0.014471461	0.028778018	0.031471102	0.017722869	0.015987789	0.025576482	0.014693487	0.013390391	0.012564083
AC026202.3	0.001799255	0.00354666	0.003915323	0.002865383	0.003107105	0.006108006	0.004844552	0.000912461	0.002609611
AC026471.6	0	0.000292309	0	7.59E-05	0.000512229	0.000249522	0	0	0
AC027601.1	0.001187394	0.003853468	0.01130462	0.005997833	0.005219537	0.006156545	0.003030099	0.001004087	0.002376278
AC034243.1	0	0.001562981	0	0.00022925	0.000678845	0.0038829	0.002518171	0	0
AC058791.1	0.315460366	0.182397519	0.462309567	0.169231645	0.066632609	0.201795327	0.144759233	0.294880221	0.289270094
AC061992.2	0.006865932	0.002890861	0.016064397	0.004047484	0.000784769	0.000844964	0.002522724	0.005438957	0.001849859
AC068831.3	0	0.000566665	0	0.000633796	0.001050033	0.000435943	0	0	0.000406278
AC069277.2	0.000131647	0.000176142	0.000625783	6.10E-05	0	0	0	0	0
AC072062.1	0	0.000598091	0	0.000191172	0.000259935	0.000933912	0	0	0
AC073254.1	0.004594881	0.004713002	0.006222384	0.006129563	0.012228684	0.006488004	0.005988406	0.004737053	0.002796604
AC083843.1	0.008293896	0.01416597	0.00670271	0.005141095	0.005459787	0.003698732	0.002767318	0.005789845	0.007102605
AC083843.2	0.000396175	0.004428244	0.000583615	0.000610879	0.000214844	0.001142809	0	0.000956331	0.000200018
AC090498.1	3.531613157	3.030215933	3.143583006	3.036332839	3.281847107	3.274836546	3.60749249	3.435527067	3.241034074
AC090616.2	0.001720382	0.007222032	0.002082928	0.002707855	0.002817543	0.007966403	0.002147934	0	0.001965569
AC092159.2	0.0001412	0.000565945	0	0.00023122	0.000752347	0.000529007	0.000410165	0.000975246	0.000607597
AC092171.2	0	0.001245406	0	5.44E-05	0.000381468	0.001448043	0	0	0
AC092484.1	0.00019687	0.001262962	0.003180804	0.004395142	0	0	0	0	0.012330413
AC093690.1	0.000734383	0.001659567	0.002213794	0.001459707	0.001159173	0.000798231	0.000807521	0	0.001009141
AC093818.1	0.008156935	0.006976908	0.011706937	0.016771058	0.020633709	0.006567861	0.011049493	0.014746331	0.064927147
AC096772.6	0.002364768	0.005411568	0.003055948	0.004048648	0.002182842	0.004289479	0.001638181	0	0.003349
AC099342.1	0.000399248	0.001136803	0.011695474	0.001008885	0.001652232	0.004112628	0.000827436	0.002011453	0.000693941
AC099552.2	0	0	0	0	0	0	0	0	0
AC099850.1	0.002363181	0.009250969	0.003168687	0.007703201	0.006890256	0.007178968	0.002842916	0	0.006572783
AC104024.1	0	0.000185606	0.000561374	0	0.000177237	0.000208928	0	0	0
AC104024.2	0	0.000280744	0.000226256	0.000219897	0	0	0	0.000996759	0
AC104532.2	0.002531936	0.003325481	0.004094379	0.004186707	0.00379691	0.003971852	0.004026319	0.000952768	0.00187132
AC104653.1	0.00098207	0.000527637	0.000541934	0.000859925	0.001922307	0.001096162	0.000991108	0.001608848	0.001577209
AC106801.1	0.000478145	0	0.001262538	0	0	0	0	0	0
AC106900.6	0.00067535	0	0	0	0	0	0	0	0
AC113404.1	0.007814682	0.003636918	0.002038707	0.005239222	0.002785014	0.001392749	0.001088879	0.013687042	0.005263472
AC114730.2	0.00898144	0.009629629	0.008568895	0.006351723	0.006231913	0.01070317	0.002454561	0.010049632	0.010035676
AC114730.3	0.009829079	0.00586793	0.002178628	0.003554879	0.000298882	0.002733966	0.003409415	0.002310599	0.002847735
AC129492.1	0.000325082	0.001429585	0.001147065	0.002014863	0.00342865	0.00317955	0.0019739	0.001422056	0.001667835
AC133528.2	0	0	0	0.000486744	0.000281858	0	0.001365753	0	0
AC133644.2	0.062854405	0.010314839	0.050997407	0.01042958	0.012632042	0.010188732	0.013393658	0.081000035	0.103834426
AC138035.2	0.001385472	0.000644029	0.000874194	0.000852133	0.000921237	0.001348502	0	0	0.000763134
AC138969.4	0.00472206	0.01362817	0.008828041	0.009428216	0.004209816	0.009948302	0.010686789	0.006792964	0.009886502
AC139099.6	0.000705667	0.000294614	0.003437827	0.000655729	0.000753166	0.000225143	0.000934093	0	0.002405806
AC139887.4	0.000123214	0	0	0.000106208	0	0.000325209	0.000911063	0	0
AC144652.1	0.013175554	0.026552815	0.02624709	0.018433254	0.010715094	0.029213445	0.01398327	0.014482716	0.008616217
AC144831.1	0.058403696	0.049458161	0.018933413	0.045611611	0.003745941	0.010328307	0.01284709	0.014223672	0.049951334
AC147651.4	0.025589081	0.030443474	0.032495648	0.02836755	0.013855388	0.014258204	0.013367973	0.037627899	0.041440498
AC159540.1	0.005168661	0.013877946	0.022060828	0.01493347	0.003762395	0.003307639	0.002425283	0.002475651	0.00509305
AC241377.2	0.004409244	0.001687217	0.003273314	0.002548946	0.002495258	0.002191936	0.001144197	0	0.002360299
AC241585.2	0.035818744	0.032910319	0.027024985	0.043896045	0.035206417	0.034401606	0.023035141	0.036282782	0.046165318
AC245100.1	0.059125205	0.038157861	0.035427984	0.034919203	0.043869664	0.060947451	0.055451055	0.039717281	0.037280561
AC253572.1	0.026748345	0.034859147	0.022035223	0.015987615	0.021576603	0.029085127	0.014536119	0.014478727	0.01529478
ACAA1	0.389979536	0.231874215	0.280472033	0.278330624	0.320046723	0.25880118	0.315231835	0.430447265	0.334316696
ACAA2	0.154581934	0.145093416	0.186322634	0.232745173	0.284823274	0.190933542	0.233281022	0.239706802	0.289240931
ACACA	0.02072969	0.035510548	0.019963349	0.027310564	0.026370428	0.02469581	0.023713681	0.032796296	0.026446486
ACACB	0.008546238	0.012600892	0.004002607	0.011106304	0.005938904	0.00545738	0.008609256	0.00295113	0.012489924
ACAD10	0.015028319	0.026756294	0.013786353	0.022463845	0.021209733	0.017019771	0.014667179	0.024128188	0.022114024
ACAD11	0.00209957	0.012718094	0.008531662	0.009530999	0.01300928	0.01238569	0.003485007	0.007429107	0.006299929
ACAD8	0.018542484	0.036056324	0.022188197	0.040752788	0.035862952	0.027329985	0.023242089	0.029732257	0.032433577
ACAD9	0.038399165	0.058461213	0.043253979	0.065071139	0.069318055	0.053367922	0.051269906	0.069565028	0.052689603
ACADM	0.055000435	0.095117393	0.104134508	0.120967738	0.117865995	0.112340608	0.09707208	0.122115042	0.088356486
ACADS	0.031625405	0.04835078	0.035213326	0.073927577	0.073006139	0.055772821	0.043891261	0.071415647	0.068232789
ACADSB	0.006119678	0.027528127	0.015018964	0.020241601	0.021988385	0.021105699	0.010005306	0.01626788	0.017490099
ACADVL	0.548453494	0.410589721	0.442181089	0.468643297	0.515057912	0.409538566	0.564656689	0.556164483	0.741606569
ACAP1	0.093966714	0.019167918	0.096910976	0.044377658	0.04384865	0.040687223	0.07552308	0.073877481	0.065989622
ACAP2	0.411054093	0.491902651	0.359459418	0.42421225	0.441478084	0.422863723	0.388218122	0.476734146	0.354973534
ACAP3	0.039570304	0.037652791	0.019993273	0.036008004	0.015901535	0.022010482	0.023434326	0.026380992	0.033481471
ACAT1	0.049137035	0.086882303	0.086555036	0.128127517	0.152126398	0.107207003	0.118041042	0.106660364	0.081966115
ACAT2	0.103434172	0.095186259	0.112329985	0.105037696	0.106032731	0.098408214	0.077601809	0.166646558	0.133022371
ACBD3	0.121100301	0.094964088	0.073175375	0.110072934	0.182016248	0.112124243	0.151316816	0.147743456	0.112755432
ACBD4	0.003476359	0.020062161	0.012508414	0.023660647	0.016123916	0.025615356	0.013454775	0.008695267	0.014305384
ACBD5	0.040589947	0.079400597	0.0574417	0.091796044	0.093000537	0.069799505	0.049463978	0.068290856	0.074481042
ACBD6	0.093096543	0.144275812	0.099518959	0.147487424	0.167247301	0.143935163	0.159820007	0.099570906	0.127637146
ACCS	0.040225986	0.08431393	0.052347823	0.072875318	0.072261752	0.078943797	0.08597458	0.040328888	0.068169491
ACD	0.048685539	0.070812842	0.078646835	0.073361551	0.074086997	0.07893262	0.060206667	0.064395592	0.076129958
ACE	0.000960159	0.011023987	0.003911835	0.031769673	0.015874328	0.001318163	0.003340673	0.005752813	0.02245401
ACER2	0.00052051	0.003506664	0.001936246	0.00134044	0.002638655	0.002050763	0.002040554	0.001639554	0.001729696
ACER3	0.16351446	0.225807353	0.205097942	0.259600048	0.269035491	0.249385521	0.160497307	0.214032498	0.182911591
ACHE	0.002768878	0.003793286	0.004258944	0.006744941	0.004509936	0.006773678	0.005357075	0.013808738	0.007434034
ACIN1	0.165904217	0.241971287	0.167963949	0.214203859	0.210382409	0.177976568	0.205234866	0.237938885	0.22164162
ACKR1	0	0	0	0	0	0	0	0	0
ACKR2	0.000205071	0.003972113	0.007434422	0.003181121	0.002348524	0.006147848	0.002492539	0.002219076	0.000164814
ACKR3	0.049562832	0.02534769	0.032059654	0.080025863	0.033162693	0.053920008	0.115179626	0.028772793	0.469990881
ACKR4	0	0	0	0.00040927	0.00050991	0	0	0	0
ACLY	0.111851519	0.105361859	0.104929055	0.101016213	0.093118434	0.084475793	0.113023807	0.142662092	0.123868657
ACMSD	0	0	0	0	0	0.001512954	0.000327719	0	0
ACO1	0.015193579	0.035624281	0.025762861	0.037526571	0.030726547	0.031008934	0.029542946	0.027361236	0.032923482
ACO2	0.163256926	0.170851531	0.182615448	0.200589569	0.239980965	0.193583489	0.215748614	0.270255718	0.207012899
ACOT1	0.000231208	0.000200885	0	0.002066581	0.002623214	0.000754796	0.001453393	0	0.00251875
ACOT11	0.005968044	0.012948279	0.018473457	0.029049028	0.018825764	0.015009667	0.014421719	0.007640592	0.016291519
ACOT13	0.050700668	0.078299652	0.079623063	0.143392012	0.134977833	0.097229217	0.102757565	0.134887909	0.14449508
ACOT2	0.015173075	0.03146952	0.040107199	0.072794158	0.090690522	0.05623508	0.062080778	0.050634661	0.070551998
ACOT4	0.000523217	0.00178131	0.001529287	0.011950612	0.010425811	0.002583776	0.002387741	0.007264114	0.012665324
ACOT7	0.005958109	0.02668977	0.017622229	0.039020932	0.040112866	0.013561822	0.012726186	0.039733854	0.03391395
ACOT8	0.072899754	0.049839414	0.057582733	0.080917359	0.080469259	0.055903633	0.072565951	0.101097542	0.086755522
ACOT9	0.402747741	0.239740685	0.400027132	0.270103065	0.285699779	0.242405299	0.355056917	0.463503787	0.335673007
ACOX1	0.075793338	0.089621274	0.065952574	0.097708071	0.10116868	0.080586369	0.071279185	0.087331607	0.100230856
ACOX2	0.038659694	0.002104547	0.007792786	0.003052058	0.003226998	0.000935181	0.014034663	0.012638118	0.029084792
ACOX3	0.040632509	0.033509641	0.033248398	0.031859484	0.044303334	0.032205369	0.047631158	0.053862129	0.050438682
ACOXL	0	0	0	0.000491635	0	0	0	0	0
ACP1	0.182470835	0.218515982	0.191699661	0.278389809	0.283636485	0.234330375	0.240739262	0.331848076	0.300397219
ACP2	0.034809988	0.117408635	0.073761636	0.250793509	0.165920539	0.085728658	0.068399882	0.228533921	0.196473468
ACP5	0.244214722	0.339478079	0.384204236	0.619648573	0.668703092	0.279911164	0.52577881	0.448166753	0.757196611
ACP6	0.002962758	0.012895149	0.012561759	0.01417335	0.017443995	0.016835716	0.009694797	0	0.007737455
ACP7	0	0	0	0	0	0	0	0	0
ACPP	0.028094847	0.016153091	0.022750069	0.012711696	0.016115869	0.012962961	0.023199683	0.033618619	0.021172191
ACRBP	0.020808771	0.073007514	0.039021286	0.065667049	0.076212399	0.083869387	0.099114512	0.036633786	0.048905958
