	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
ABCF1	0.306907742	0.143695015	0.151515152	0.404761905	0.266666667	0.282589522	0.252595156	0.237642586	0.237288136	0.230088496	0.103896104	0.075471698	0.857142857
ABCF2	0.12702828	0.079178886	0.075757576	0.142857143	0.088888889	0.098606456	0.119184929	0.104562738	0.06779661	0.115044248	0.051948052	0.075471698	0.333333333
ABCF3	0.0945758	0.06744868	0.090909091	0.095238095	0.111111111	0.10089963	0.093041138	0.074144487	0.076271186	0.123893805	0.038961039	0.132075472	0.095238095
ABCG1	0.243393602	0.19941349	0.060606061	0.095238095	0.133333333	0.02416652	0.041522491	0.032319392	0.016949153	0.039823009	0.12987013	0.018867925	0.047619048
ABCG2	0.006954103	0.002932551	0.045454545	0	0	0.002293173	0.00461361	0.001901141	0.008474576	0.004424779	0	0	0.119047619
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0.001854427	0.002932551	0	0	0	0.003175163	0.004998078	0.001901141	0	0.004424779	0	0	0
ABHD10	0.045433472	0.055718475	0.015151515	0.047619048	0.066666667	0.052919386	0.072279892	0.085551331	0.076271186	0.066371681	0.038961039	0	0.333333333
ABHD11	0.027352805	0.032258065	0	0.023809524	0	0.02240254	0.041138024	0.043726236	0.084745763	0.053097345	0	0	0.214285714
ABHD11-AS1	0.000927214	0	0	0	0	0.003527959	0.003460208	0.003802281	0	0	0	0	0
ABHD12	0.175707	0.126099707	0.212121212	0.142857143	0.133333333	0.168636444	0.158016148	0.157794677	0.169491525	0.185840708	0.12987013	0.056603774	0.523809524
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	0.124710246	0.117302053	0.106060606	0.19047619	0.111111111	0.140236373	0.116493656	0.146387833	0.127118644	0.115044248	0.064935065	0.056603774	0.166666667
ABHD14A	0.012980992	0.029325513	0	0.047619048	0.044444444	0.026106897	0.033064206	0.039923954	0.016949153	0.039823009	0.012987013	0	0.023809524
ABHD14A-ACY1	0.000463607	0	0	0	0	0.001234786	0.000384468	0	0	0	0	0	0
ABHD14B	0.27770051	0.255131965	0.272727273	0.166666667	0.4	0.333921327	0.32141484	0.326996198	0.406779661	0.407079646	0.077922078	0.169811321	0.5
ABHD15	0.203987019	0.131964809	0.121212121	0.095238095	0.088888889	0.111483507	0.061130334	0.058935361	0.008474576	0.061946903	0.103896104	0.075471698	0.047619048
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	0.168289291	0.126099707	0.090909091	0.119047619	0.111111111	0.178691127	0.166089965	0.131178707	0.161016949	0.154867257	0.051948052	0.113207547	0.380952381
ABHD17A	0.424200278	0.287390029	0.439393939	0.071428571	0.377777778	0.970541542	0.791618608	0.758555133	0.847457627	0.761061947	0.25974026	0.603773585	1.119047619
ABHD17B	0.092721372	0.041055718	0	0.023809524	0.088888889	0.063856059	0.092272203	0.051330798	0.008474576	0.061946903	0.012987013	0	0.071428571
ABHD17C	0.015762633	0.002932551	0.015151515	0	0.044444444	0.00776151	0.00768935	0.007604563	0.016949153	0	0	0	0.047619048
ABHD18	0.131664349	0.108504399	0.075757576	0.142857143	0.088888889	0.101428823	0.118415994	0.098859316	0.076271186	0.14159292	0.12987013	0.018867925	0.30952381
ABHD2	0.344923505	0.225806452	0.196969697	0.214285714	0.133333333	0.285941083	0.224529027	0.233840304	0.110169492	0.159292035	0.155844156	0.113207547	0.261904762
ABHD3	0.191933241	0.143695015	0.106060606	0.142857143	0.133333333	0.126830129	0.260284506	0.136882129	0.186440678	0.17699115	0.12987013	0.056603774	0.261904762
ABHD4	0.061659713	0.055718475	0.03030303	0	0	0.069500794	0.070357555	0.064638783	0.042372881	0.079646018	0.090909091	0	0.023809524
ABHD5	0.225776541	0.06744868	0.075757576	0.095238095	0.066666667	0.176045158	0.210688197	0.140684411	0.059322034	0.07079646	0.025974026	0.037735849	0.404761905
ABHD6	0.035697728	0.046920821	0.015151515	0	0.044444444	0.03104604	0.034217609	0.038022814	0.06779661	0.039823009	0.012987013	0.018867925	0.023809524
ABHD8	0.024571164	0.014662757	0.015151515	0	0	0.018874581	0.024605921	0.022813688	0.008474576	0.030973451	0.025974026	0.018867925	0.166666667
ABI1	0.331478906	0.275659824	0.272727273	0.30952381	0.377777778	0.38966308	0.429834679	0.475285171	0.338983051	0.389380531	0.402597403	0.20754717	0.785714286
ABI2	0.077422346	0.058651026	0.151515152	0.19047619	0.044444444	0.061033692	0.07266436	0.057034221	0.042372881	0.079646018	0.090909091	0	0.095238095
ABI3	0.400092721	0.316715543	0.090909091	0.023809524	0.244444444	1.001940377	0.891580161	0.954372624	0.855932203	1.030973451	0.12987013	0.471698113	1.619047619
ABI3BP	0	0	0	0	0	0	0	0	0	0	0.012987013	0	0
ABL1	0.060732499	0.032258065	0.015151515	0.023809524	0.022222222	0.042511907	0.023068051	0.013307985	0.008474576	0.017699115	0.038961039	0	0
ABL2	0.018544274	0.020527859	0	0.023809524	0	0.017992591	0.028066128	0.007604563	0	0.017699115	0.025974026	0	0.095238095
ABLIM1	0.687528975	0.346041056	0.515151515	0.261904762	0.4	0.680896102	0.353325644	0.431558935	0.152542373	0.265486726	0.454545455	0.075471698	0.285714286
ABLIM2	0.002781641	0.002932551	0	0	0	0.003880755	0.004229143	0	0	0.004424779	0.012987013	0	0.023809524
ABLIM3	0.000463607	0	0	0	0	0.000352796	0	0	0	0	0	0	0
ABO	0.005563282	0	0.03030303	0.023809524	0	0.002116775	0.000384468	0.003802281	0	0	0.012987013	0	0
ABR	0.078813166	0.079178886	0.03030303	0.071428571	0.022222222	0.106720762	0.073817762	0.087452471	0.144067797	0.159292035	0.090909091	0.018867925	0.071428571
ABRA	0.000463607	0	0	0	0	0.000176398	0	0	0	0.004424779	0	0	0
ABRACL	0.71349096	0.407624633	0.378787879	0.523809524	0.733333333	0.666431469	0.753940792	0.796577947	0.652542373	0.783185841	0.116883117	0.471698113	2.952380952
ABT1	0.294390357	0.249266862	0.151515152	0.095238095	0.2	0.304639266	0.24567474	0.269961977	0.194915254	0.265486726	0.090909091	0.169811321	0.523809524
ABTB1	0.252202133	0.193548387	0.212121212	0.119047619	0.155555556	0.236373258	0.229142637	0.245247148	0.203389831	0.265486726	0.142857143	0.188679245	0.166666667
ABTB2	0.069077422	0.008797654	0	0	0.022222222	0.004057153	0.007304883	0.007604563	0	0	0	0	0.023809524
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002306.1	0.000463607	0	0	0	0	0	0.000384468	0	0	0	0	0	0
AC002401.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002456.2	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
AC002480.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003005.2	0.000463607	0	0	0	0	0	0	0	0	0.004424779	0	0	0
AC003092.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003956.1	0	0	0	0	0	0.000176398	0.000384468	0.003802281	0	0	0	0	0
AC003958.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004012.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004069.2	0	0.002932551	0	0	0	0.000176398	0	0	0	0	0	0	0
AC004158.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004257.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004448.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004490.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004637.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004754.3	0	0	0	0	0	0.000176398	0.000384468	0	0	0	0	0	0
AC004813.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004893.11	0.003708855	0.011730205	0	0	0	0.006703122	0.00461361	0.003802281	0.016949153	0	0	0	0
AC004947.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004988.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005224.2	0.000927214	0.002932551	0	0	0	0.000529194	0.00153787	0	0	0	0	0	0
AC005256.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005281.1	0	0	0	0	0	0	0.000384468	0	0	0	0	0	0
AC005304.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005307.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005355.1	0.001854427	0.005865103	0	0	0	0	0.000384468	0	0	0	0	0	0
AC005355.2	0	0	0	0	0	0	0.000384468	0	0	0	0	0	0
AC005477.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005480.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005498.3	0.000927214	0.002932551	0.03030303	0	0	0.001587582	0.001153403	0.001901141	0	0.004424779	0	0	0
AC005537.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005592.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005616.1	0	0	0	0	0	0.000529194	0.000768935	0	0	0	0	0	0
AC005625.1	0.000927214	0	0	0	0	0	0	0	0	0	0	0	0
AC005703.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005779.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005863.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006007.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006041.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006126.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006126.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006262.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006272.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006272.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006328.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006369.2	0.012980992	0.026392962	0.03030303	0.047619048	0.066666667	0.019580173	0.038831219	0.051330798	0.042372881	0.022123894	0.038961039	0	0
AC006372.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006449.2	0.000463607	0	0	0	0.022222222	0.002822367	0.001922338	0.005703422	0.025423729	0.017699115	0	0	0.047619048
AC006482.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006994.2	0.003708855	0.005865103	0.03030303	0	0	0.000705592	0.00922722	0.007604563	0	0.004424779	0	0.018867925	0
AC007009.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007091.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007098.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007099.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007106.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007126.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007128.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007163.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007204.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007228.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007228.9	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
AC007249.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007292.3	0	0	0	0	0	0.000352796	0	0	0	0	0	0	0
AC007319.1	0.000463607	0.002932551	0	0.023809524	0	0	0.000384468	0	0	0	0	0	0
AC007326.1	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
AC007349.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007365.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007389.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007405.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007620.3	0.000463607	0	0	0	0	0	0.000384468	0	0	0	0	0	0.023809524
AC007679.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007743.1	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
AC007879.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007879.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007879.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007879.4	0	0	0	0	0	0	0.000384468	0	0	0	0	0	0
AC007880.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007906.1	0.002318034	0	0	0	0	0.000705592	0.000384468	0.001901141	0	0	0	0	0
AC007950.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007950.2	0	0	0	0	0	0.000529194	0.000768935	0	0	0	0	0	0
AC007952.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007966.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008069.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008074.1	0.004172462	0	0	0	0	0.002469571	0.00153787	0	0.008474576	0.008849558	0	0.018867925	0
AC008268.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008269.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008277.1	0.000927214	0.002932551	0	0	0	0.000176398	0	0	0	0	0	0	0
AC008278.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008440.10	0.000463607	0	0	0	0	0.000176398	0.001153403	0	0	0	0	0	0
AC008522.1	0.000463607	0	0	0	0	0.000352796	0	0.001901141	0	0	0	0	0
AC008592.4	0	0	0	0	0	0.000176398	0.000384468	0	0	0	0	0	0
AC008937.2	0.000927214	0	0	0	0	0.000176398	0.000768935	0.001901141	0	0.004424779	0	0	0
AC008937.3	0.000927214	0	0	0	0	0	0	0	0	0	0	0	0
AC008940.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009022.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009060.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009065.4	0.010662958	0.005865103	0	0	0	0.00599753	0.00153787	0.001901141	0	0	0	0.037735849	0
AC009110.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009120.4	0.000463607	0	0	0	0	0.00088199	0.001153403	0	0	0	0	0	0
AC009120.5	0	0	0	0	0	0.000352796	0	0	0	0	0	0	0
AC009133.22	0.000927214	0	0	0	0	0.000352796	0.000768935	0.001901141	0	0.004424779	0	0	0
AC009227.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009228.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009264.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009299.2	0	0.002932551	0	0	0.022222222	0.000352796	0.000384468	0	0	0	0	0	0
AC009299.3	0.029207232	0.035190616	0.03030303	0.047619048	0	0.003175163	0.005382545	0.011406844	0	0	0.025974026	0	0.095238095
AC009303.1	0.000927214	0	0	0	0	0.000176398	0	0.001901141	0	0	0	0	0
AC009312.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009313.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009336.19	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009365.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009478.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009495.2	0.02364395	0.017595308	0	0	0.088888889	0.030869642	0.035755479	0.049429658	0.050847458	0.03539823	0.064935065	0	0.071428571
AC009495.3	0	0	0	0	0	0.000352796	0	0	0	0	0	0	0
AC009506.1	0.000463607	0	0	0	0	0.000352796	0.001922338	0	0	0	0	0	0
AC009542.2	0.000463607	0	0	0	0	0.000352796	0	0.001901141	0	0	0	0	0
AC009961.3	0.019007881	0.026392962	0.03030303	0.023809524	0.022222222	0.023460928	0.019607843	0.007604563	0	0.030973451	0.038961039	0.018867925	0.023809524
AC010287.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010468.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010641.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010642.1	0.005099675	0.002932551	0	0	0	0.005821132	0.008458285	0	0.008474576	0	0.012987013	0.018867925	0.023809524
AC010649.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010729.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010745.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010761.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010894.3	0.001854427	0.002932551	0	0.023809524	0	0.001587582	0.001153403	0.005703422	0	0	0	0	0
AC010894.5	0.000463607	0.002932551	0	0	0	0.001234786	0.000384468	0	0	0	0	0	0
AC010907.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010967.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010969.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010976.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010983.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011155.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011239.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011298.2	0	0	0	0	0	0	0.000384468	0	0	0	0	0	0
AC011524.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011525.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011747.3	0.000463607	0	0	0	0	0.000176398	0	0.001901141	0	0	0	0	0.023809524
AC011752.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011997.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012123.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012322.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012368.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012462.1	0	0	0	0	0	0	0	0	0	0	0	0	0
