	NK.c01.CD56brightCD16hi	NK.c02.CD56brightCD16lo.GZMH	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c06.CD56brightCD16lo.CREM	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c09.CD56dimCD16hi.ZNF90	NK.c10.CD56dimCD16hi.NFKBIA	NK.c11.CD56dimCD16hi.MKI67	NK.c12.CD56dimCD16hi.DNAJB1	NK.c13.CD56dimCD16hi.NR4A3
B3GALT6	0.07600953	0.059251916	0.028418868	0.034802862	0.059484367	0.074617743	0.074580817	0.068448259	0.131684726	0.052777171	0.04815671	0.067571208	0.079712617
FAM132A	0	0	0	0	0	0.001256093	0	0	0	0.00170477	0	0.000317439	0.000438958
RP5-902P8.12	0	0	0	0.004358511	0	0.001799272	0	0	0	0	0	0	0
UBE2J2	0.189740174	0.230992639	0.216490305	0.120719881	0.192271131	0.12876484	0.190685118	0.170006035	0.026563212	0.163311876	0.180850828	0.145434649	0.14458621
RP5-902P8.10	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	0.023375901	0	0	0	0	0.003184907	0.004609679	0.013407525	0	0	0	0.000915432	0.000891353
ACAP3	0.045019087	0.046759758	0.019826227	0.024639746	0.030246201	0.0223479	0.047280395	0.041179721	0	0.032328778	0.066917717	0.021904032	0.025633021
PUSL1	0.098352092	0.057449818	0.026162868	0.042208352	0.037738837	0.042206138	0.02303475	0.065581251	0.072163712	0.020883876	0.059184171	0.03470071	0.05145019
CPSF3L	0.345944188	0.242419343	0.185093352	0.201798817	0.107576189	0.193057682	0.23806697	0.224138121	0.135074368	0.241226259	0.330922933	0.213707409	0.194328958
CPTP	0.026269211	0.046999688	0.028947971	0.029408042	0.072481594	0.034315544	0.072604932	0.036831463	0.049465769	0.059061017	0.048003072	0.041067391	0.038276377
TAS1R3	0	0	0	0	0	0	0	0	0	0.001537862	0	0.000493395	0.000647321
DVL1	0	0.041698256	0.020398578	0.00871019	0	0.007540283	0.022705395	0.020810613	0	0.005275198	0	0.005324854	0.006097191
MXRA8	0	0	0	0	0	0.000588652	0	0	0	0	0	0.000413167	0
AURKAIP1	0.175480475	0.299445672	0.376307263	0.416760879	0.501347018	0.487515628	0.623946504	0.497804199	0.763530076	0.459019109	0.700390967	0.462986906	0.519451851
CCNL2	0.568366517	0.26428793	0.266107976	0.324411861	0.103432262	0.175398495	0.154685699	0.274962387	0.13717459	0.19620647	0.10296392	0.144645978	0.168020531
MRPL20	0.261216551	0.282120716	0.439634614	0.343319958	0.346378649	0.41144861	0.44091398	0.374467121	0.381005421	0.388007298	0.328514887	0.363397012	0.433430532
RP4-758J18.13	0	0	0	0.014905108	0	0.001084524	0.007335047	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-758J18.7	0	0	0	0	0	0	0	0	0	0	0	0.000240393	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-758J18.10	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0.002993628	0	0.000315972	0	0	0	0	0	0	0.000141304
ATAD3C	0	0	0	0.020528154	0	0.008027157	0	0.005332858	0	0.005793969	0	0.004260095	0.005650724
ATAD3B	0.088020326	0.048549737	0.132248901	0.06056548	0.071004314	0.042336109	0.013809113	0.008956382	0	0.029331831	0.080933266	0.02994749	0.036378497
ATAD3A	0.029556891	0.062936979	0	0.033218648	0.034559672	0.03298411	0.015384332	0.030709684	0	0.03172784	0.142283457	0.037346136	0.034675007
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	0.73357862	0.405103291	0.59009086	0.55200303	0.402723325	0.434036819	0.736938015	0.579910054	0.870152793	0.604577886	0.368508669	0.429552777	0.51839782
RP5-832C2.5	0	0.048218614	0	0.021840463	0.015825785	0.011839627	0.023377828	0.026526041	0	0.030340257	0	0.009100619	0.008702325
C1orf233	0	0	0	0.010833503	0	0.001949847	0.008956698	0	0	0	0	0.001540704	0.002449125
RP11-345P4.9	0	0.050695032	0	0.003945394	0.011707426	0.011911188	0.010595892	0.007913138	0.034060372	0.019808701	0.033423895	0.010411111	0.015106407
MIB2	0.215777753	0.18174524	0.131356943	0.176920121	0.117873137	0.147822639	0.240799135	0.231267224	0.19596691	0.261258665	0.095689748	0.201754972	0.226591125
MMP23B	0.0522842	0.122727445	0	0.090982008	0.018687968	0.052936407	0.260958884	0.174738679	0.212578147	0.176925478	0.037838221	0.171280813	0.163787188
CDK11B	0.458647343	0.389446688	0.196627541	0.265300075	0.242392823	0.16507402	0.173710176	0.211377924	0.196466299	0.128728935	0.196363186	0.152820135	0.175390882
RP11-345P4.10	0	0	0	0.003317732	0	0.00073476	0	0.008353454	0	0.00194127	0	0	0.000314178
SLC35E2B	0.301009199	0.176862695	0.156358468	0.178805158	0.021229987	0.082800842	0.116721304	0.125164595	0.207634509	0.078779934	0.051907593	0.067448214	0.096975357
RP11-345P4.7	0	0	0	0	0	0.001479764	0	0	0	0.002623484	0	0.000979592	0.000939839
CDK11A	0.527137045	0.223308002	0.096041705	0.187076183	0.15680142	0.139491635	0.118045888	0.153883845	0.133319668	0.139062587	0.199368339	0.139065347	0.168897416
SLC35E2	0.144451265	0.182364179	0.193160312	0.031518095	0.031671762	0.024944828	0.067198134	0.04195327	0.052993037	0.032779569	0.031615657	0.021743483	0.026348453
NADK	0.164692626	0.094172082	0.112317232	0.084894856	0.045401495	0.077914852	0.040565256	0.109712361	0.109297608	0.094543119	0.070080354	0.110361769	0.089421953
GNB1	0.425248931	0.133579467	0.188335929	0.213337223	0.114361656	0.181553782	0.177913817	0.200908758	0.307223338	0.204422209	0.259449002	0.190557902	0.242944786
RP1-140A9.1	0	0	0.028864654	0	0	0.001786752	0	0	0	0.004913006	0	0.002018509	0.000985513
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0.000243141
TMEM52	0	0	0	0	0	0.000827649	0	0	0	0.001676405	0	0.003935708	0.002355828
CFAP74	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-547D24.1	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-547D24.3	0	0	0	0	0	0.000227582	0	0	0	0	0	0	0
PRKCZ	0	0.116559501	0.092974546	0.061566717	0.009074484	0.051059161	0.062873725	0.027616301	0.018932665	0.064169383	0.031020677	0.04653489	0.045236235
RP5-892K4.1	0	0	0	0	0	0	0	0	0	0	0	0	0.000137475
RP11-181G12.2	0	0	0	0	0	0	0	0	0	0	0	0.000369496	0.000116087
FAAP20	0.211940698	0.388641947	0.294431089	0.20788705	0.189458677	0.250771529	0.343355283	0.339581574	0.395189156	0.35583999	0.392390904	0.299119863	0.319196626
RP11-181G12.4	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	0.401046416	0.126729004	0.082806151	0.190905505	0.004118358	0.185650478	0.023421975	0.053728875	0.137790035	0.026604139	0.050487897	0.056787722	0.097178621
MORN1	0	0	0	0.002935468	0.011690381	0.007400353	0	0.02304533	0.022031496	0.02680553	0.00526721	0.011769725	0.008263917
RER1	0.175180937	0.418242774	0.302575084	0.347667979	0.163647771	0.25467767	0.430294986	0.41459118	0.215724708	0.37150459	0.398426615	0.305576328	0.297872285
PEX10	0.042880379	0.116295744	0.110978653	0.027477099	0.017553827	0.02847844	0.050122066	0.039861895	0	0.034049463	0.009867202	0.026958873	0.028935022
PLCH2	0.277023875	0.135102395	0	0.135919909	0.00813656	0.058188887	0.025589116	0.004739976	0.023448598	0.016586942	0.011882933	0.015257268	0.010789261
RP3-395M20.2	0	0	0	0.003860484	0	0	0	0	0	0	0	0	0
RP3-395M20.3	0	0	0	0	0	0.000445553	0	0	0	0	0	0	0
PANK4	0	0.042768203	0.049299646	0.055008926	0.033840943	0.037777148	0.059158159	0.061070305	0.018105035	0.047885081	0.046544449	0.046461149	0.04491783
HES5	0	0	0	0	0	0	0	0	0	0	0	0.002231659	0.000169047
RP3-395M20.12	0.155839876	0.013790139	0.080852519	0.107187738	0.027114677	0.06714263	0.169207417	0.109967152	0.094718517	0.203319646	0.10353999	0.188954002	0.145225408
RP3-395M20.8	0	0.08542199	0	0.068878146	0	0.037060393	0.007794947	0.020769285	0	0.012506991	0.008269436	0.023522667	0.014759378
TNFRSF14	0.309043729	0.437748524	0.282266604	0.263790217	0.238595218	0.225361018	0.729280161	0.703960904	0.514820403	0.614330383	0.441532761	0.541983781	0.547047735
RP3-395M20.9	0	0	0	0	0	0	0	0	0	0	0	0.000299507	0
FAM213B	0.02395171	0	0.02977271	0.018531816	0.051829382	0.013504245	0.006446178	0.025186274	0	0.01071933	0.01176423	0.015059873	0.011951833
MMEL1	0	0	0	0	0	0.00071495	0	0.005860242	0	0.001394904	0	0.001224443	0.000448267
RP13-436F16.1	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	0.022996531	0	0	0.00830963	0	0.001483434	0	0	0	0.001066803	0	0.000109796	0.000539836
LINC00982	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0.000329534	0	0	0	0	0	0.001318719	0.000196806
RP1-163G9.2	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-22L13.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0.019110564	0	0	0	0	0.000789639	0	0	0	0	0	0	0
RP11-168F9.2	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	0.036029178	0	0	0.009602447	0	0.005950598	0	0	0	0	0	0	0.000413523
RP11-46F15.2	0	0	0	0	0	0	0	0	0	0.003085321	0	0.00024904	0.000731978
TPRG1L	0	0.019319769	0.027558765	0.025845754	0.009229451	0.03064123	0	0.013146653	0.148772971	0.034816204	0.009420418	0.028750256	0.033156246
WRAP73	0.151526942	0.139992399	0.095189616	0.074500347	0.088740885	0.080072026	0.07019375	0.156690535	0.2603211	0.113507717	0.104688595	0.092826769	0.088826778
TP73	0	0	0	0.006313415	0	0.001065211	0	0	0	0	0	0.000717592	0.000261027
RP5-1092A11.5	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	0.108233691	0.032303077	0	0.021533464	0.017710287	0.021137657	0.016562625	0.010494233	0.026563212	0.018498133	0.007524778	0.019959962	0.019232494
SMIM1	0	0.022499305	0.009121743	0.029777577	0.017553827	0.025285508	0	0.005367736	0	0.011686098	0	0.00569805	0.004676669
LRRC47	0.084853876	0.179991897	0.090625971	0.155842666	0.059588002	0.142225963	0.13089356	0.146597641	0.022031496	0.130353578	0.12001548	0.092769702	0.104901013
RP1-286D6.5	0	0	0	0	0	0	0	0	0	0.001582017	0	0.000914182	0.000564072
CEP104	0.302408757	0.122520058	0.042392871	0.078898049	0.169556707	0.106015849	0.058141738	0.140020896	0.062091635	0.085661955	0.039334586	0.084556699	0.09173216
DFFB	0.050185138	0	0.036333131	0.048324036	0.009539605	0.017739699	0.033463527	0.043084205	0.013816436	0.049002296	0	0.032234693	0.023885731
C1orf174	0.217938499	0.169055272	0.179280553	0.156888368	0.138562182	0.128253765	0.186328803	0.253352459	0.516054703	0.272081016	0.138868886	0.252815386	0.278813201
LINC01134	0	0	0	0	0	0.000806917	0.005288143	0	0	0.00243867	0	0.001270764	0.000980593
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0	0	0	0	0	0	0.000457573	0
NPHP4	0.036664941	0	0.009121743	0.004759725	0	0.009217946	0	0.018065606	0	0.015614242	0.026706702	0.012324286	0.015255454
KCNAB2	0.605985851	0.413567865	0.186967695	0.315113097	0.2874212	0.263788814	0.483806553	0.426616659	0.274966909	0.384609103	0.405866768	0.335545364	0.388420239
CHD5	0	0	0	0	0	0	0	0	0	0	0	0	0.00028931
RPL22	1.129282314	4.783228213	5.175413486	3.914163505	6.181652104	3.993089	4.340471239	3.733008078	4.708611921	3.735983692	2.968306896	3.447219695	3.841662764
RP1-120G22.11	0	0	0	0	0	0.000407641	0	0	0	0	0	0	0
RNF207	0	0	0.072798246	0.016022479	0.014842185	0.007921188	0	0	0	0	0.007524778	0	0
ICMT	0.122215853	0.040961666	0.06064954	0.064772201	0.053548445	0.059736096	0.123704367	0.097331838	0.022031496	0.076734889	0.137390689	0.060425958	0.065582174
LINC00337	0	0	0	0	0	0.000505685	0	0	0	0	0.020712398	0.000174039	0.000289805
GPR153	0	0	0	0.002969116	0	0.003214447	0	0.008624443	0	0.012443256	0.011882933	0.003654987	0.006159781
ACOT7	0.048274281	0.043676261	0.143999828	0.038230194	0.087322053	0.073125247	0.049097631	0.055020685	0	0.047284003	0.413547542	0.0511083	0.055111162
RP1-202O8.3	0.036061177	0	0.015536648	0.003019385	0.008356728	0.004207207	0.019394208	0.003316068	0	0.009134712	0	0.002350872	0.001799715
HES2	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPN	0	0	0.044441035	0.003005205	0	0.001963448	0	0	0	0.004271399	0	0.002090716	0.000908483
TNFRSF25	0	0.031813323	0.380057176	0.016291854	0.027555944	0.046110724	0.033708096	0.056898528	0	0.04215207	0.058012863	0.030478389	0.035916746
PLEKHG5	0.021643186	0	0	0	0	0.001156526	0	0	0	0	0	0.001434863	0.000264824
NOL9	0.186566129	0.068533615	0.099763422	0.09866434	0.087025826	0.070012122	0.021642418	0.044861134	0.111062193	0.05600936	0.061763046	0.050443573	0.065553828
TAS1R1	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	0.020328157	0.095674005	0.146672249	0.051767728	0.004118358	0.049553586	0.085021541	0.09638361	0.138037481	0.061796906	0.073320151	0.051576742	0.04605288
KLHL21	0.070052142	0	0.033380893	0.026784793	0.009539605	0.056197653	0.024891712	0.020259228	0.080385936	0.046515846	0.017990155	0.04872742	0.066462628
PHF13	0.088519822	0.037150722	0.06384191	0.040568194	0.029850551	0.02153868	0.010825762	0.011653907	0.056767286	0.012142637	0.024735376	0.020755645	0.02515553
THAP3	0.043163016	0.092447263	0	0.028044975	0.034861185	0.040102363	0.040266673	0.053627762	0.064451256	0.059070999	0.083754927	0.039077081	0.040472804
DNAJC11	0.137631626	0.026788282	0.078835767	0.077444987	0.10011348	0.046582711	0.027678113	0.112867252	0.013816436	0.054499715	0.065896896	0.041853555	0.0381707
RP11-312B8.1	0	0	0.020051269	0.007415707	0	0.001926335	0	0	0	0.002431751	0	0.000925876	0.001221282
CAMTA1	0.132634197	0.142015383	0.300773055	0.127967828	0.224868301	0.144091595	0.120180963	0.177229526	0.216811194	0.178643417	0.219444995	0.123559357	0.155688235
RP4-549F15.1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-338N10.1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-338N10.2	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-338N10.3	0	0	0	0	0	0	0	0	0	0	0	0	0
VAMP3	0.115809488	0.068066529	0.076539026	0.10588266	0.035422378	0.090331428	0.094818068	0.146246079	0.062644731	0.112188416	0.042584031	0.081784073	0.096876762
PER3	0.069948025	0	0.017612331	0.020679481	0	0.012387059	0.006237701	0.010249495	0.028291861	0.011263779	0	0.019268627	0.015998757
RP3-467L1.4	0	0	0	0.003853646	0	0.000514613	0	0	0	0	0.01533701	0.00091668	0.000952742
UTS2	0.022120171	0.153029079	0.214503314	0.140052764	0.147528349	0.110849526	0.244175295	0.152609064	0.227850748	0.182676844	0.069798428	0.190391883	0.152725065
TNFRSF9	0.036581421	0	0	0.082842191	0.068734029	0.142919556	0.03176597	0.078713496	0.018932665	0.050775027	0.007409265	0.105079189	0.06429722
PARK7	0.570150773	1.014152439	0.851220387	0.739506513	0.686385027	0.893165039	1.245777383	1.158004552	1.116328051	1.061062749	1.441479763	0.954391034	0.964522477
ERRFI1	0.069799728	0	0	0.059550051	0.038911287	0.069822851	0.013329617	0.015754634	0.022031496	0.087804555	0.12038035	0.136064811	0.117920786
RP11-431K24.1	0	0	0	0	0	0	0.013372187	0	0	0	0	0	0
RP11-431K24.3	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-431K24.4	0	0	0	0	0	0	0.005736863	0	0	0	0	0	0
SLC45A1	0	0	0	0	0	0.000783285	0.053096345	0.014614169	0	0.003194128	0	0.00368829	0.007301754
RERE	0.292303553	0.208602688	0.066926598	0.206861415	0.21663094	0.103255281	0.089518332	0.076438666	0.060706658	0.105688774	0.103231893	0.083568231	0.091987595
RP5-1115A15.1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-633I8.4	0	0	0	0	0	0	0	0	0	0	0	0	0.000175202
ENO1	0.900386747	0.818059402	1.289627935	0.915058665	0.986930358	1.112173239	1.165306816	1.134705493	0.910210347	1.075877544	2.340828859	0.896556072	1.067126711
ENO1-AS1	0	0	0	0	0	0.002276323	0	0	0	0.001676803	0.01533701	0.000681002	0.00035487
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0.000193088	0	0	0	0	0	0	0
SLC2A5	0	0	0	0	0	0.000465192	0	0	0	0	0	0	0
GPR157	0	0	0.02632663	0.011335246	0.029821333	0.009494727	0	0	0	0.006916379	0.012320525	0.002162817	0.001967849
MIR34AHG	0	0.032303077	0	0.002993628	0.015174772	0.000875805	0	0	0	0	0	0.000391613	0.000487353
RP3-510D11.2	0	0	0	0.009678588	0	0	0	0	0	0	0.015345004	0.000929044	0.000479007
RP3-510D11.4	0	0	0	0	0	0	0	0	0	0	0	0	0
H6PD	0.197517316	0.024644992	0.026733003	0.066644509	0.009539605	0.041013213	0.054560193	0.079436234	0	0.060924959	0.05533764	0.044822502	0.058055747
SPSB1	0.033248952	0	0.018114406	0.022526381	0.011850591	0.049556712	0.008489876	0	0.148205524	0.00666065	0.010634604	0.008930007	0.009057852
RP13-392I16.1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A33	0.237361845	0.030307887	0.045546103	0.074155592	0.156826426	0.179487232	0.040795699	0.097655067	0.08760676	0.145176087	0.135507831	0.15647423	0.152738575
TMEM201	0	0	0	0.003568004	0	0.006605985	0.006708923	0.009801812	0	0.004243083	0.028555924	0.005770567	0.006861237
PIK3CD	0.417993337	0.278848023	0.270441318	0.376008436	0.23090487	0.190916553	0.147626071	0.218519855	0.157893857	0.214223871	0.131168825	0.156452435	0.156825837
PIK3CD-AS1	0	0.031964891	0	0	0	0.001172088	0	0	0	0	0.005367394	0.002886489	0.000998209
PIK3CD-AS2	0	0	0.02632663	0.020428854	0	0.003157708	0	0	0	0.001583083	0.001361247	0.003107114	0.001833049
CLSTN1	0.273118838	0.214578599	0.066704886	0.127340388	0.049623631	0.119391791	0.215394267	0.214541065	0.213572991	0.214961329	0.08584918	0.161731944	0.200637987
AL357140.1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNBIP1	0.010628222	0.128380857	0.230134727	0.075785954	0.239762136	0.104797589	0.210499013	0.119332811	0.116484015	0.151865589	0.1783269	0.137302393	0.129418087
RP11-84A14.5	0	0	0	0	0	0.000507626	0	0	0	0	0	0	0
LZIC	0.160620759	0.084423689	0.075714823	0.092769548	0.053207898	0.073723347	0.082676718	0.123099418	0.084052035	0.139914552	0.093118015	0.098528149	0.086146561
NMNAT1	0.044691774	0.01324722	0	0.02087177	0.020599073	0.007393248	0.009334326	0.015419108	0	0.011501181	0.019645851	0.0108317	0.009795778
RBP7	0	0	0	0	0	0.001459112	0.007085421	0	0.023230688	0	0	0.002481358	0.000453879
UBE4B	0.202756878	0.059121023	0.018192758	0.045025166	0.066645439	0.072810884	0.147713189	0.059456554	0.048731104	0.093696956	0.057098659	0.080146885	0.083768736
KIF1B	0.056412023	0.048218614	0.062659761	0.067994584	0.011605896	0.032267999	0.015307977	0.030612499	0.086565284	0.031511742	0.005367394	0.053277278	0.054171437
PGD	0.090654356	0.060301065	0.035587917	0.117530899	0.162294727	0.16708999	0.10256219	0.169400344	0.19886585	0.149722883	0.196783819	0.15203268	0.172936733
RP4-736L20.3	0	0	0	0	0	0	0	0	0	0	0	0.000477327	0.000180968
APITD1-CORT	0	0	0	0.003392218	0	0.017597343	0.036113641	0.018965443	0	0.005943952	0.26801294	0.008429533	0.014186804
APITD1	0	0	0	0.001928531	0	0.005439359	0	0.010916088	0	0.005696797	0.006792206	0.001194094	0.004023778
CORT	0	0	0	0	0	0	0	0	0	0	0	0	0
DFFA	0.135783781	0.052253488	0.056508061	0.080718133	0.078515431	0.073976757	0.086159007	0.074716271	0.036588163	0.097348105	0.132253762	0.079878615	0.068337239
RP5-1113E3.3	0	0	0	0	0	0	0	0	0	0	0	0	0.000217186
PEX14	0.121659111	0	0.044441035	0.056224579	0.050616253	0.036408071	0.084607387	0.112501236	0.118355117	0.073665467	0.056907331	0.048060945	0.072734951
CASZ1	0.055104653	0.071728105	0	0.058499584	0.048833496	0.049383328	0.026958178	0.030049204	0.139497231	0.030747338	0.079508548	0.045942979	0.079334141
RP4-734G22.3	0	0	0	0	0	0.003953625	0.00779326	0.003408334	0	0.001512791	0.009369454	0.002995217	0.005058689
C1orf127	0	0	0	0	0	0	0	0	0	0	0	0	0.000160545
TARDBP	0.500480809	0.29597148	0.186944679	0.175484639	0.082603702	0.12271313	0.227667993	0.133295357	0.050323357	0.137855281	0.155312497	0.102627714	0.126003424
RP4-635E18.9	0	0	0	0	0	0	0	0	0	0	0	0.00033433	0.000136329
MASP2	0	0	0	0	0	0	0	0	0	0	0	0	0.000130772
RP4-635E18.8	0.050930561	0	0	0	0	0.002262988	0	0	0	0.002995299	0	0.00026373	0.000707703
SRM	0.019110564	0.111612686	0.118322603	0.17004688	0.188290358	0.223473315	0.20447093	0.154326307	0.247282453	0.11114668	0.250999934	0.114114121	0.140905575
EXOSC10	0.333638434	0.143202028	0.232125692	0.179157465	0.117803227	0.141609418	0.181485593	0.133884519	0.112452494	0.146239622	0.123192094	0.122030121	0.132725465
RP4-635E18.7	0	0	0	0	0.009969378	0.000408803	0	0	0	0	0	0	0.000252834
RP4-635E18.6	0	0	0	0	0	0.000322671	0	0	0	0	0	0.000413167	0.000268609
MTOR	0.120540043	0.047215036	0.077462052	0.132501823	0.096119246	0.076983221	0.09146556	0.086134862	0.065228945	0.089890087	0.066406489	0.070526224	0.071255525
MTOR-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0	0	0	0	0	0	0	0
UBIAD1	0.162835257	0.121210626	0	0.062958171	0.037228179	0.06223468	0.11328822	0.080248947	0	0.124545626	0.11459551	0.095104453	0.091595923
PTCHD2	0	0	0	0	0	0	0	0	0	0	0.014508187	0.002625069	0.003454734
RP1-69M21.2	0	0	0	0	0	0	0	0	0	0	0	0	0
