	Fibroblast.c01.MYH11	Fibroblast.c02.ADAMDEC1	Fibroblast.c03.COL15A1	Fibroblast.c04.LRRC15	Fibroblast.c05.PI16	Fibroblast.c06.ADH1B	Fibroblast.c07.IL6	Fibroblast.c08.RGS5	Fibroblast.c09.CTNNB1	Fibroblast.c10.PRG4	Fibroblast.c11.HOPX	Fibroblast.c12.MSLN	Fibroblast.c13.HGF	Fibroblast.c14.HSPA6	Fibroblast.c15.SOX6	Fibroblast.c16.SFRP2	Fibroblast.c17.STMN1	Fibroblast.c18.HHIP	Fibroblast.c19.MMP1	Fibroblast.c20.CD74
ABCA1	2.060528993	0.530201342	0.495619524	0.804771737	0.504657421	0.810683425	1.285714286	2.329571106	0.290023202	0.5	2.360742706	0.974358974	23.59701493	0.923259494	0.55499154	3.207852194	0.24137931	0.451219512	1.107020548	4.93220339
ABCA4	0	0.003355705	0.000417188	0.003441156	0.001862968	0	0	0.048371493	0	0	0.00795756	0	0	0.001582278	0.005076142	0	0.002873563	0	0.006849315	0
ABCA9	0.015768057	0.19295302	0.411347518	0.068593714	0.488511695	0.507462687	0.653061224	0.155917446	0.083526682	0	0.385941645	0.384615385	2.805970149	0.168512658	0.023688663	0.267898383	1.505747126	0.012195122	0.077054795	0.333333333
ABCB10	0.41353001	0.026845638	0.025448477	0.070428997	0.044297247	0.023566379	0.040816327	0.272815221	0.013921114	0	0.062334218	0	0.059701493	0.041139241	0.030456853	0.046189376	0.011494253	0.109756098	0.077054795	0.028248588
ABCB11	0.000508647	0	0.006257822	0	0.000206996	0.001571092	0	0.000161238	0	0	0	0	0	0.000791139	0	0	0	0	0	0
ABCB8	0.858596134	0.077181208	0.095118899	0.24294563	0.164562202	0.149253731	0.102040816	0.80248307	0.069605568	0.5	0.832891247	0.153846154	2.805970149	0.617879747	0.111675127	0.237875289	0.054597701	0.146341463	0.269691781	2.254237288
ABCC10	0.285350966	0.031879195	0.049228202	0.108969947	0.046160215	0.194029851	0.020408163	0.869880684	0.046403712	0	0.314323607	0.025641026	15.43283582	0.139240506	0.050761421	0.057736721	0.014367816	0.073170732	0.095890411	1.830508475
ABCC2	0.015768057	0.003355705	0.013767209	0.001605873	0.075139723	0.008641005	0.020408163	0.009674299	0	0	0.00132626	0.025641026	0	0	0.003384095	0.002309469	0	0	0.000856164	0
ABCC5	0.57629705	0.077181208	0.074676679	0.269786648	0.09646036	0.355066771	0.081632653	1.206707514	0.092807425	0	0.234748011	0.128205128	7.776119403	0.155063291	0.106598985	0.203233256	0.07183908	0.134146341	0.215753425	0.785310734
ABCC9	1.025940997	0.035234899	0.186900292	0.062858454	0.101014283	0.136684996	0.295918367	6.693647211	0.051044084	0	1.355437666	0.051282051	15.74626866	0.109177215	0.192893401	0.473441109	0.143678161	0.036585366	0.042808219	0.18079096
ABCD1	0.560020346	0.031879195	0.027951606	0.085111264	0.044297247	0.027494108	0.051020408	0.103837472	0.025522042	0	0.106100796	0.051282051	0.089552239	0.045094937	0.033840948	0.090069284	0.020114943	0.048780488	0.070205479	0.02259887
ABCD2	0.022889115	0	0.001668753	0.00022941	0.000413993	0.004713276	0	0.181393099	0.002320186	0	0.00132626	0.076923077	0	0.001582278	0.00676819	0.002309469	0.002873563	0	0.001712329	0
ABCD3	2.629704985	0.119127517	0.085523571	0.162881395	0.150072449	0.100549882	0.12244898	1.649951629	0.07424594	0	0.454907162	0.230769231	5.119402985	0.200158228	0.181049069	0.147806005	0.227011494	0.12195122	0.172945205	0.237288136
ABCE1	2.130213632	0.234899329	0.218189403	0.406285845	0.337611261	0.820109976	0.591836735	2.03531119	0.081206497	1.5	0.653846154	0.384615385	10.34328358	0.300632911	0.265651438	2.397228637	0.255747126	0.353658537	0.413527397	1.124293785
ABCF3	2.324516785	0.08557047	0.143929912	0.240880936	0.15938729	0.095836606	0.214285714	1.128668172	0.03712297	0	0.224137931	0.153846154	0.671641791	0.165348101	0.145516074	0.242494226	0.094827586	0.158536585	0.273116438	2.107344633
ABCG2	0.114445575	0.018456376	0.044221944	0.011470521	0.003725937	0.036135114	0	0.295066108	0.011600928	0	0.107427056	0.051282051	9.104477612	0.180379747	0.037225042	0.018475751	0.011494253	0.036585366	0.006849315	0.18079096
ABHD1	0.03051882	0.003355705	0.006257822	0.003441156	0.004760919	0.013354281	0.010204082	0.048371493	0	0	0.017241379	0.025641026	0.223880597	0.011075949	0	0.009237875	0.020114943	0	0.004280822	0.04519774
ABHD10	1.704984741	0.05704698	0.093450146	0.12135811	0.161250259	0.095836606	0.030612245	1.108835859	0.020881671	0.5	0.600795756	0.102564103	4.119402985	0.081487342	0.094754653	0.147806005	0.221264368	0.146341463	0.101027397	0.084745763
ABHD14A	1.833163784	0.065436242	0.124739257	0.045423262	0.209687435	0.117046347	0.153061224	1.65269268	0.013921114	0	0.584880637	0.128205128	3.298507463	0.125791139	0.084602369	0.399538106	0.011494253	0.048780488	0.061643836	0.282485876
ABHD14A-ACY1	1.08138352	0.001677852	0.015435962	0.015829319	0.011591803	0.010212097	0	1.152370203	0	0	0.419098143	0.076923077	0.462686567	0.370253165	0	0.15704388	0	0	0.010273973	0.242937853
ABHD14B	6.211088505	0.322147651	0.645390071	0.71254875	0.5058994	0.942655145	0.581632653	5.897774911	0.134570766	1.5	2.034482759	0.564102564	22.14925373	0.727848101	0.392554992	0.986143187	0.318965517	0.341463415	0.613013699	2.209039548
ABHD15	0.153611394	0.011744966	0.012098456	0.056664373	0.031049472	0.012568735	0.030612245	0.133021606	0.009280742	0	0.034482759	0.025641026	0	0.02056962	0.025380711	0.055427252	0.020114943	0.024390244	0.034246575	0.005649718
ABHD17B	0.406917599	0.031879195	0.025865665	0.041982106	0.031877458	0.019638649	0.071428571	0.740890035	0.020881671	0	0.051724138	0.051282051	0.029850746	0.033227848	0.057529611	0.043879908	0.014367816	0.073170732	0.059931507	0.389830508
ABHD17C	0.334689725	0.045302013	0.036295369	0.061711402	0.00765887	0.019638649	0.112244898	0.03144147	0.034802784	0	0.039787798	0.179487179	0.059701493	0.079905063	0.013536379	0.050808314	0.040229885	0	0.136986301	0.18079096
ABHD18	1.395727365	0.08557047	0.063412599	0.118146364	0.066031877	0.052631579	0.071428571	0.503224766	0.044083527	0	0.155172414	0.230769231	5.641791045	0.053006329	0.074450085	0.090069284	0.054597701	0.146341463	0.101027397	0.04519774
ABHD6	0.570701933	0.013422819	0.036295369	0.065840789	0.036431381	0.027494108	0.040816327	0.371815543	0.009280742	0	0.082228117	0	0.074626866	0.058544304	0.028764805	0.073903002	0.020114943	0.06097561	0.065924658	0.039548023
ABL2	0.174974568	0.122483221	0.253650396	0.709337004	0.721589733	0.147682639	3.87755102	1.373266688	0.255220418	1	0.976127321	2	9.746268657	0.976265823	0.269035533	0.526558891	0.301724138	0.512195122	1.129280822	0.271186441
ABLIM3	0.190742625	0.055369128	0.039632874	0.090617114	0.083005589	0.393558523	0.163265306	0.602547565	0.034802784	0	0.24535809	0.128205128	12.05970149	0.544303797	0.081218274	0.046189376	0.054597701	0.048780488	0.113869863	0.401129944
ABO	0.347914547	0.010067114	0.007509387	0.003441156	0.000827986	0	0	0.207352467	0	0	0.00530504	0.076923077	0	0.003955696	0.011844332	0.004618938	1.333333333	0	0.002568493	0.011299435
ABRA	0.059511699	0	0.000417188	0.000688231	0.000413993	0.000785546	0	0.005965817	0	0	0	0.025641026	0	0	0.001692047	0	0	0	0.000856164	0
AC002451.1	0.019328586	0	0.003337505	0	0.000413993	0.000785546	0	0.106417285	0	0	0.00265252	0	0.029850746	0.002373418	0	0.004618938	0	0	0	0
AC002480.2	0.000508647	0	0	0.000458821	0.000413993	0	0	0.001128668	0	0	0	0	0	0	0	0	0.324712644	0	0.000856164	0
AC003092.1	0	0	0	0.00022941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003984.1	0.000508647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004012.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004069.2	0	0	0	0.000458821	0.000827986	0.000785546	0	0.002418575	0	0	0.00132626	0	0	0.000791139	0.001692047	0	0.002873563	0	0	0
AC004224.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004817.4	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
AC004839.1	0.007629705	0	0	0.000917642	0	0	0	0.022089649	0	0	0.00795756	0	0	0	0	0	0.002873563	0	0.001712329	0
AC004947.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005034.4	0.046286877	0	0.000417188	0	0	0	0	0.000322477	0	0	0	0	0	0	0	0	0	0	0	0
AC005082.1	0	0	0.003337505	0.003211746	0.001241979	0.003142184	0	0.008384392	0	0	0.01061008	0	0.014925373	0.001582278	0	0.004618938	0	0	0.002568493	0
AC005281.1	0.082400814	0	0.000417188	0	0	0	0	0.054014834	0	0	0	0	0	0	0	0	0	0	0	0
AC005355.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005477.1	0.001017294	0.006711409	0	0	0	0	0	0.000483715	0	0	0	0	0	0.000791139	0.001692047	0	0	0	0	0
AC005597.1	0.000508647	0	0	0	0	0	0	0	0	0	0	0	0	0.001582278	0	0	0	0	0	0
AC005841.1	0.710579858	0	0	0.002064694	0	0.014139827	0	0.554014834	0	0	0.092838196	0	0.402985075	0.011867089	0	0	0.094827586	0	0	0.350282486
AC006033.2	0	0	0	0.000458821	0.000206996	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
AC006272.1	0	0	0	0	0	0.040062844	0	0	0	0	0	0	0	0	0.001692047	0	0	0	0	0
AC006369.2	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
AC006486.1	0.024923703	0	0	0.00022941	0	0.001571092	0	0.010319252	0	0	0.00132626	0	0	0.042721519	0	0	0.002873563	0	0.000856164	0
AC006994.2	0	0.011744966	0.001251564	0.00022941	0.001241979	0.000785546	0	0.000644953	0	0	0.00132626	0	0	0.004746835	0.016920474	0	0.002873563	0.024390244	0.005136986	0
AC007009.1	0.003051882	0	0	0.001147052	0	0	0	0.000483715	0	0	0	0	0	0	0	0	0	0	0	0
AC007098.1	0	0	0	0	0.000206996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000856164	0
AC007192.1	0.561546287	0	0.020025031	0.002523515	0	0.020424195	0	0.382457272	0	0	0.279840849	0	1.104477612	0.105221519	0	0.48960739	0	0	0	0.288135593
AC007292.1	0.063580875	0	0.002503129	0	0	0.00392773	0	0.032731377	0	0	0.017241379	0	0.671641791	0.011867089	0	0.002309469	0.011494253	0	0	0.033898305
AC007292.3	0.006612411	0	0.000417188	0	0.000206996	0.000785546	0	0.005482103	0	0	0	0	0	0	0.001692047	0	0	0	0.000856164	0
AC007319.1	0.664292981	0.020134228	0.016270338	0.004358798	0.012626785	0.177533386	0	1.59158336	0	0	0.542440318	0	5.656716418	0.032436709	0.013536379	0.011547344	0.123563218	0.024390244	0.000856164	0.717514124
AC007382.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007389.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007563.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007566.1	0.045269583	0	0	0.00022941	0	0.000785546	0	0.103676233	0	0	0.00265252	0	0	0.001582278	0	0.002309469	0.143678161	0	0	0
AC007614.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007620.3	0	0.005033557	0.001251564	0.000458821	0.00413993	0	0	0.000644953	0	0	0	0	0	0	0.008460237	0.002309469	0	0	0.001712329	0
AC007879.2	0.009155646	0	0.000417188	0.000458821	0	0	0	0.000644953	0	0	0	0	0	0	0	0	0	0	0	0
AC007879.3	0	0	0	0	0	0	0	0.005482103	0	0	0	0	0	0	0	0	0	0	0	0
AC007880.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007919.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007938.2	0	0	0	0.002982335	0	0	0	0.133827797	0	0	0.098143236	0	0.014925373	0.269778481	0	0.002309469	0.146551724	0	0	0
AC007952.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007952.4	0.082400814	0	0.014184397	0.001376462	0.003311944	0.008641005	0	0.063689133	0.004640371	0	0.017241379	0	0.044776119	0.03164557	0	0.020785219	0.002873563	0	0.006849315	0.028248588
AC007952.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007966.1	0	0.001677852	0.000834376	0.00022941	0.000206996	0	0	0	0.002320186	0	0	0	0	0.000791139	0	0.002309469	0	0	0	0.005649718
AC008069.1	0	0	0.000417188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008073.3	0.269582909	0	0.005423446	0.001147052	0.000206996	0	0	0.239277652	0	0	0.00132626	0	0.014925373	0	0	0.002309469	0.227011494	0	0.001712329	0.09039548
AC008074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008147.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008268.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000791139	0	0	0	0	0	0
AC008269.2	0	0.003355705	0.000834376	0	0.000620989	0.000785546	0.010204082	0	0	0	0	0	0	0.000791139	0	0	0	0	0	0
AC008278.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008537.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008592.4	0.043743642	0	0.000417188	0	0	0	0.010204082	0.006610771	0	0	0.00132626	0	0	0	0	0	0	0	0	0
AC008641.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008708.2	0	0	0.000417188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008735.2	0.019328586	0	0.001668753	0.001605873	0	0.000785546	0	0.017574976	0	0	0.01061008	0	0	0.001582278	0	0	0	0	0	0.005649718
AC008763.2	0.358596134	0	0.000417188	0.008029365	0	0.006284368	0	0.099000322	0	0	0.023872679	0	0.044776119	0.003164557	0	0.006928406	0.238505747	0	0	0.028248588
AC008763.3	1.176500509	0	0.005840634	0.002752925	0	0.20974077	0	1.061431796	0	0	0.299734748	0	2.552238806	0.024525316	0	0.304849885	0.278735632	0	0	0.079096045
AC008764.6	0.015768057	0	0	0.000688231	0	0.000785546	0	0.015640116	0	0	0	0	0	0	0	0	0	0	0	0
AC008878.1	0.064598169	0	0	0.00022941	0	0.010997643	0	0.039987101	0	0	0	0	0	0.000791139	0	0	0	0	0.000856164	0
AC008878.3	0.201932859	0	0	0.00022941	0	0.134328358	0	0.35117704	0	0	0	0	0.925373134	0	0	0	0	0	0	0
AC008914.1	0.224313327	0	0.016687526	0.001147052	0.000827986	0.039277298	0	0.279103515	0	0	0.147214854	0	0.298507463	0.004746835	0	0.013856813	0	0	0	0.610169492
AC008915.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008937.3	0.104781282	0	0.000417188	0	0.000413993	0	0	0.061915511	0	0	0.00132626	0	0.119402985	0	0	0	0	0	0	0
AC008966.1	0.006612411	0	0.005840634	0.003899977	0.001655972	0.000785546	0.010204082	0.094646888	0.004640371	0	0.00397878	0.025641026	0	0.003955696	0	0.025404157	0	0	0.007705479	0.005649718
AC008992.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009060.1	0.619023398	0	0	0.00022941	0	0	0	0.141567236	0	0	0.013262599	0	1.641791045	0.268987342	0	0	0.022988506	0	0	0.011299435
AC009061.2	0.252288911	0	0.00458907	0.003211746	0.001241979	0.004713276	0	0.034666237	0.009280742	0	0.0066313	0	0.014925373	0.002373418	0	0.016166282	0.002873563	0	0.002568493	0
AC009120.4	0.006612411	0	0.000417188	0	0.000413993	0.000785546	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0.005649718
AC009227.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009299.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009299.3	0.022889115	0	0.000417188	0.000458821	0	0	0	0.002741051	0	0	0	0	0	0	0	0	0	0	0	0
AC009303.1	0	0	0	0	0.000206996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009312.1	0	0	0	0	0	0	0	0.000483715	0	0	0	0	0	0	0	0	0	0	0	0
AC009313.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009495.2	0	0	0	0	0	0	0	0.00096743	0	0	0	0	0	0	0	0	0.002873563	0	0	0
AC009495.3	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
AC009498.1	0.000508647	0	0	0	0.000413993	0.001571092	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016949153
AC009502.1	0	0	0	0.000458821	0	0	0	0.000161238	0	0	0.00132626	0	0	0	0	0	0	0	0	0
AC009506.1	0.4491353	0.030201342	0.046307885	0.008947006	0.043262265	0.036135114	0.020408163	0.386165753	0.009280742	0	0.151193634	0.025641026	2.537313433	0.036392405	0.054145516	0.020785219	0.07183908	0	0.011130137	0.146892655
AC009542.2	0	0	0.000417188	0	0.000206996	0.000785546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009570.1	0	0	0.000417188	0	0.000206996	0	0	0.000483715	0	0	0	0	0	0	0	0.002309469	0	0	0	0
AC009950.1	0.340793489	0	0.000417188	0	0.000206996	0.004713276	0	0.196710738	0	0	0.013262599	0	0.104477612	0	0	0	0	0	0	0.056497175
AC009965.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010186.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010531.1	0.1017294	0	0.000834376	0.000458821	0	0.015710919	0	0.09061593	0	0	0.143236074	0	0.23880597	0	0	0.023094688	0	0	0.000856164	0
AC010729.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010809.2	0.002543235	0	0	0.001147052	0.000413993	0.001571092	0	0.014672686	0.004640371	0	0	0	0	0	0	0.002309469	0	0	0	0
AC010883.1	0.097151577	0	0.000417188	0.001605873	0	0	0	0.04385682	0	0	0	0	0.298507463	0.000791139	0	0	0	0	0	0
AC010894.3	0.033062055	0.001677852	0.001668753	0	0.003104947	0.001571092	0	0.054337311	0	0	0	0	0	0.000791139	0.010152284	0	0.002873563	0	0	0
AC010907.2	0.008138352	0	0	0	0	0	0	0.025475653	0	0	0.00795756	0	1.567164179	0	0	0	0	0	0	0
AC010969.1	0.002034588	0	0	0	0	0	0	0.000483715	0	0	0	0	0	0	0	0	0	0	0	0
AC010982.1	0	0	0	0	0	0	0	0.011770397	0	0	0	0	0	0	0	0	0	0	0	0
AC010982.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011239.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011243.1	0	0	0	0	0	0	0	0	0	0	0	0	0.462686567	0	0	0	0	0	0	0
AC011298.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011306.1	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
AC011472.1	0.063580875	0	0.000834376	0.000917642	0.000413993	0.000785546	0	0.075620767	0	0	0	0.025641026	0	0.001582278	0	0	0	0	0	0.02259887
AC011475.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011625.1	0	0	0	0	0	0	0	0	0	0	0.00132626	0	0	0	0	0	0	0	0.000856164	0
AC011815.1	0.125635809	0	0	0.00022941	0	0.00392773	0	0.028055466	0	0	0.019893899	0	0.47761194	0	0	0	0.011494253	0	0	0.203389831
AC012066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012181.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012213.2	0	0	0	0.00022941	0	0	0	0.000322477	0	0	0	0	0	0	0	0	0	0	0	0
AC012291.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012306.2	0.414038657	0	0.010012516	0.00573526	0.001655972	0.006284368	0	0.33392454	0.004640371	0	0.095490716	0	0.029850746	0.006329114	0	0.011547344	0.002873563	0	0.001712329	0.011299435
AC012360.1	0.00508647	0	0	0	0.000206996	0	0	0.055949694	0	0	0	0	0	0	0	0	0	0	0	0
AC012360.2	0.063072228	0	0	0.00022941	0	0	0	0.010802967	0	0	0	0	0	0	0	0	0	0	0	0
AC012368.1	0.118006104	0	0.000417188	0.002294104	0	0	0	0.127539503	0.002320186	0	0.00397878	0	0.014925373	0.000791139	0	0	0	0	0.000856164	0
AC012462.1	0	0	0	0	0	0	0	0.000322477	0	0	0	0	0	0	0	0	0	0	0	0
AC012462.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012462.3	0.022889115	0	0	0	0	0	0	0.009351822	0	0	0	0	0	0	0	0	0	0	0	0
AC012485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012485.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012499.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012506.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012510.1	0.003560529	0	0.001668753	0.000917642	0.000620989	0.001571092	0	0.004514673	0	0	0	0	0	0	0	0.002309469	0	0	0.000856164	0
AC012613.2	0.008138352	0	0	0.000458821	0	0.005498822	0	0.025959368	0	0	0.0066313	0	0.298507463	0	0	0	0	0	0	0.016949153
AC012668.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012668.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012668.3	0.002034588	0	0	0.000917642	0	0	0	0.010641728	0	0	0	0	0	0	0	0	0	0	0	0
AC013448.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013468.1	0.037131231	0	0.000417188	0	0	0	0	0.011931635	0	0	0	0	0	0	0	0	0	0	0	0
AC015574.1	0	0	0	0	0	0	0	0.003224766	0	0	0	0	0	0	0	0	0	0	0	0
AC015813.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC015912.3	0.117497457	0	0.020025031	0.011929342	0.00765887	0.000785546	0	0.048371493	0.004640371	0	0.029177719	0.025641026	0	0.015822785	0	0.034642032	0.00862069	0	0.017979452	0.02259887
AC015917.2	0.076805697	0	0.000834376	0.001376462	0.000620989	0.001571092	0	0.002096098	0.002320186	0	0	0	0	0	0	0.006928406	0	0	0.000856164	0
AC015922.3	0.177517803	0	0	0	0	0.333071485	0	0.222186391	0	0	0.114058355	0	2.208955224	0.078322785	0	0	0	0	0	0
AC016644.1	0.041709054	0	0	0	0	0	0	0.027088036	0	0	0	0	0	0	0	0	0.002873563	0	0	0
AC016700.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016735.1	0	0	0	0	0	0	0	0.000483715	0	0	0	0	0	0	0	0	0	0	0	0
AC016745.1	0	0	0	0	0	0	0	0.000483715	0	0	0	0	0	0	0	0	0	0	0	0
AC016999.2	0	0.001677852	0.000417188	0	0.001655972	0.002356638	0	0	0	0	0	0	0	0	0.001692047	0	0	0	0	0
AC017002.2	0.003560529	0.011744966	0.005423446	0.002294104	0.070378804	0.003142184	0.071428571	0.027571751	0.009280742	0	0.00530504	0.102564103	0	0.009493671	0.128595601	0.009237875	0.005747126	0.012195122	0.011986301	0.005649718
AC017071.1	0.001017294	0	0	0.00022941	0	0	0	0.000322477	0.004640371	0	0	0	0	0	0	0	0	0	0.000856164	0
AC017074.1	0.001017294	0	0	0.00022941	0	0.0290652	0	0.002579813	0	0	0	0	0	0	0	0	0	0	0	0
AC017104.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
