	Macro.c01.C1QC	Macro.c02.FN1	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c05.INHBA	Macro.c06.ISG15	Macro.c07.LYVE1	Macro.c08.NLRP3	Macro.c09.SPP1
PUSL1	0.036389052	0.034970211	0.052134292	0.024230795	0.033836112	0.048163019	0.024053232	0.027743568	0.036884202
CPSF3L	0.157361462	0.159849552	0.15245715	0.153441735	0.159193204	0.157362795	0.137127374	0.14778793	0.165221227
CPTP	0.034703655	0.018231746	0.040120244	0.019550765	0.021797101	0.021115824	0.024959994	0.006634998	0.02979092
DVL1	0.020086547	0.016840826	0.006408223	0.00904428	0.014616249	0.026127714	0.023794278	0.017040816	0.023996762
AURKAIP1	0.53455947	0.618810626	0.556633427	0.397309746	0.435892353	0.675862201	0.392690672	0.564150004	0.586368041
CCNL2	0.125231517	0.123128907	0.110695469	0.090394171	0.089137769	0.10343051	0.177326268	0.112256308	0.12369868
MRPL20	0.450115261	0.506888	0.456615652	0.326836348	0.389182165	0.50052045	0.344319167	0.400905214	0.461483297
ANKRD65	0.002995582	0.005579287	0.006695554	0.008424954	0.005370176	0.002627677	0.003656072	0.000809144	0.001468718
VWA1	0.001052424	0	0.004957686	0.001242703	0	0	0.000717305	0.000130981	0.001181905
ATAD3C	0.00106093	0.001165725	0.003280823	0.002787039	0.001785342	0	0.0014318	0.000607189	0.001087277
ATAD3B	0.032807639	0.033443097	0.021025672	0.019442727	0.027981425	0.05025385	0.054444213	0.03403439	0.033021787
ATAD3A	0.036104881	0.03210184	0.035651715	0.03789209	0.037117105	0.039229402	0.035349073	0.029537001	0.039639251
SSU72	0.491925276	0.485109934	0.51563522	0.428676938	0.396310034	0.48000111	0.398029174	0.478738527	0.488667441
RP5.832C2.5	0.010220364	0.008501096	0.006538334	0.010884021	0.009942897	0.01800545	0.011424352	0.018710231	0.008616744
C1orf233	0.013764901	0.008805925	0.012870776	0.003788208	0.00531056	0.00652085	0.008575048	0.00785731	0.010766314
RP11.345P4.9	0.015459493	0.015413679	0.016186006	0.016015346	0.016376925	0.023045763	0.022842711	0.017409773	0.021567368
MIB2	0.053618292	0.048115687	0.037277398	0.04624583	0.044368241	0.029760765	0.066806588	0.055598971	0.065758429
MMP23B	0.001364598	0.001327235	0.001275378	0.001428331	0.000486245	0.000703966	0.00398821	0.00143828	0.00091288
CDK11B	0.121819781	0.143149048	0.122548477	0.102694403	0.097504834	0.111805225	0.13544372	0.163664942	0.104997677
RP11.345P4.10	0.000742988	0.000491349	0.000224474	0.000926393	0.000557377	0	0.001246144	0.001782648	0.000116938
SLC35E2B	0.047803388	0.032340858	0.028008548	0.03304307	0.023095874	0.024560517	0.059514656	0.029167387	0.042708681
RP11.345P4.7	0.000414097	0.000339864	0.000170173	0.000997838	0.001003215	0	0.000699875	0.000523563	0
CDK11A	0.091135229	0.098517484	0.08923758	0.076618549	0.074381107	0.104996592	0.09429925	0.120409711	0.099164206
SLC35E2	0.0077284	0.006615738	0.008304263	0.007512759	0.00545205	0.004869222	0.010513642	0.003233912	0.005466984
NADK	0.149168789	0.101572533	0.135414815	0.091298096	0.105962611	0.240049163	0.089425409	0.173344703	0.146783338
GNB1	0.388639323	0.314465942	0.304203375	0.239675208	0.367318778	0.465055119	0.381552206	0.526331581	0.405393503
TMEM52	0.001493671	0.00100204	0.002024343	0.000760911	0	0	0.000666454	0.001069588	0.002939605
PRKCZ	0.009491022	0.005239068	0.010171041	0.019736102	0.023405028	0.011611096	0.009347921	0.017633373	0.005358644
RP5.892K4.1	0.000680154	0.002519332	0.001610745	0.000811925	0.001519761	0	0.001057758	0.002423497	0.000791456
FAAP20	0.387910122	0.420314956	0.401315421	0.343505011	0.316434143	0.321945235	0.312119467	0.363556534	0.32598799
SKI	0.132691851	0.134880317	0.075382625	0.090095779	0.128454415	0.115044678	0.160162261	0.207896232	0.171076917
MORN1	0.006028587	0.006333767	0.006456246	0.004680025	0.005132758	0.00287096	0.007340242	0.002382859	0.006604668
RER1	0.471828547	0.416786383	0.47415873	0.33991196	0.42169654	0.457592625	0.342131211	0.379317888	0.469878132
PEX10	0.065642866	0.05521276	0.068464893	0.057297434	0.050419754	0.056650862	0.06129558	0.028138322	0.052353574
PANK4	0.024457464	0.01722084	0.023707858	0.02022721	0.025370397	0.018094005	0.028428165	0.015414335	0.025229053
HES5	0.001017732	0	0.002732772	0.000607794	0	0	0.000161716	0	0
RP3.395M20.12	0.067998778	0.04314126	0.048774078	0.099368707	0.10395237	0.087934116	0.093280598	0.058464205	0.053337832
RP3.395M20.8	0.019461392	0.013932272	0.015020925	0.022536132	0.015179582	0.008151568	0.017937719	0.007266149	0.011978061
TNFRSF14	0.445079525	0.338164412	0.397985595	0.361797864	0.324356548	0.521677552	0.375533061	0.345859198	0.398306125
RP3.395M20.9	0.002939366	0.001245064	0.000536517	0.000898111	0.001852265	0.00092175	0.002404839	0.001545719	0.000632399
FAM213B	0.035454769	0.019277936	0.039834276	0.021926032	0.021350501	0.012589918	0.020895589	0.006258245	0.038321293
MMEL1	0.004498789	0.006016007	0.004177085	0.005415441	0.004186178	0.002887869	0.003800784	0.003910839	0.003968454
MEGF6	0.02068349	0.007538054	0.007948425	0.014097431	0.01285879	0.00277347	0.017074501	0.00512958	0.003226052
TPRG1L	0.032331253	0.025707902	0.02255822	0.013119765	0.019531579	0.018126284	0.03259736	0.012953049	0.026193998
WRAP73	0.060811805	0.057282658	0.058400881	0.058191021	0.044678772	0.035996349	0.064604544	0.029033918	0.059883682
TP73.AS1	0.021317205	0.019286158	0.015887688	0.023052196	0.014111283	0.007791106	0.034984374	0.007425459	0.018740038
SMIM1	0.027118813	0.017583042	0.021776574	0.030972404	0.021739171	0.007957477	0.020163969	0.010310713	0.016745102
LRRC47	0.065735921	0.04288409	0.057672211	0.057498756	0.038302436	0.04697591	0.076444163	0.022000523	0.051793401
CEP104	0.051384879	0.048944384	0.056572935	0.062636414	0.048645629	0.04658566	0.063612619	0.042805434	0.04358763
DFFB	0.008979763	0.004114896	0.007496708	0.009385474	0.007120912	0.001944275	0.011995017	0.003883197	0.009812004
C1orf174	0.075738249	0.067010282	0.080173518	0.08012449	0.060110048	0.053176569	0.077411292	0.024044423	0.069472679
LINC01134	0.001114395	0.003110674	0.000658559	0.000350785	0.000269229	0.001670779	0.002220509	0.001469644	0.000450289
NPHP4	0.016845557	0.020529363	0.00935048	0.01264019	0.017790281	0.01636607	0.022005512	0.019539465	0.015317968
KCNAB2	0.235884345	0.313966374	0.200029052	0.180419922	0.205258426	0.252995502	0.204026303	0.310539977	0.366661235
RPL22	2.16283195	2.374160506	2.139785681	2.216571561	2.13712724	2.079984565	2.23788531	2.551478627	2.097246628
RNF207	0.00074667	0	0.000901071	0.001496219	0.000763832	0.002134932	0.00170898	0.000676646	0.001797753
ICMT	0.05949054	0.028398884	0.056657921	0.033467918	0.026450022	0.039324471	0.042868201	0.01350227	0.043888947
GPR153	0.002657493	0.001274274	0.001992873	0.000799359	0.000483275	0.002473546	0.002097582	0.001699921	0.001214404
ACOT7	0.04147869	0.012604309	0.039891626	0.014223528	0.017580267	0.034994142	0.026669359	0.005561274	0.031951883
RP1.202O8.3	0.00346303	0.000873472	0.001860418	0.001699558	0.0009589	0.000847243	0.002657564	0.000626076	0.001155056
TNFRSF25	0.014752238	0.001480293	0.001387179	0.003085607	0.003659873	0.005434448	0.06133756	0.001975488	0.002892186
PLEKHG5	0.023460399	0	0.000997967	0.00389306	0.000394733	0	0.102996943	0	0.000350204
NOL9	0.043366849	0.038940277	0.042691611	0.038863605	0.030191739	0.049529208	0.053616082	0.028695295	0.034918453
ZBTB48	0.04879421	0.029210239	0.039790768	0.036003136	0.036279829	0.04364745	0.053360894	0.033615749	0.043546472
KLHL21	0.111151587	0.091253266	0.048475149	0.113910466	0.198200118	0.11633634	0.099741587	0.179369207	0.158711838
PHF13	0.019863897	0.014599314	0.015213021	0.014778034	0.01977026	0.019541239	0.016063645	0.013624425	0.022745314
THAP3	0.033125236	0.018167479	0.028260628	0.01502261	0.018643709	0.025378688	0.028099529	0.016293079	0.033742498
DNAJC11	0.053092993	0.050265448	0.053461084	0.04462821	0.032213723	0.04038232	0.050017846	0.02667862	0.04018388
RP11.312B8.1	0.002814587	0.003695721	0.001418154	0.006201179	0.001625153	0.00271527	0.00593729	0.002186307	0.00313754
CAMTA1	0.344694714	0.339232577	0.332670271	0.28891531	0.372153422	0.379120473	0.285375392	0.283533277	0.335798612
VAMP3	0.336067214	0.22800253	0.288738336	0.249726751	0.296954261	0.274664189	0.305039803	0.285566743	0.376231317
PER3	0.065809801	0.018932213	0.042141035	0.046062012	0.017045296	0.017533749	0.086196136	0.005120162	0.019547775
RP3.467L1.4	0.000948772	0.001352487	0.000861644	0.000741067	0.002703707	0	0.001972201	0.001833517	0.000435414
UTS2	0.05783392	0.039450029	0.046786424	0.035251485	0.067996371	0.023194854	0.032533831	0.052668599	0.079254761
TNFRSF9	0.030607543	0.012433027	0.01701734	0.012116615	0.074213618	0.04389981	0.010811888	0.033211968	0.045863479
PARK7	0.810269194	0.918931762	0.901300445	0.722440124	0.789155213	0.945800395	0.62521431	0.758728177	0.809627002
ERRFI1	0.151969142	0.052165819	0.053103244	0.083388897	0.174109995	0.090074507	0.08988174	0.095744041	0.235214987
RP11.431K24.4	0.001882047	0	0	0	0.00062592	0	0	0.000179869	0.000593866
SLC45A1	0.004388419	0.000574678	0.002336259	0.00238912	0.003439885	0.003461228	0.002103694	0.001491449	0.00735304
RERE	0.131802456	0.089991967	0.090762988	0.126957486	0.091809297	0.093499148	0.220124801	0.086654117	0.082534658
ENO1	1.109002268	1.182997461	1.222447992	0.809092281	1.367849862	1.667240815	0.87035472	1.504521132	1.825574355
ENO1.AS1	0.002883211	0.001810939	0.001234844	0.003153249	0.001756207	0.002760105	0.002659174	0.002407857	0.002695969
SLC2A5	0.08415059	0.027017393	0.086409246	0.056229654	0.017326618	0.035377027	0.03588173	0.008016974	0.340240929
GPR157	0.044244323	0.072775334	0.073268531	0.058002893	0.130749446	0.081584433	0.023971858	0.079915004	0.043790531
MIR34AHG	0.02055153	0.00058854	0.008023475	0.010979304	0.010401694	0.001784626	0.012870914	0.002446324	0.006026731
RP3.510D11.2	0.006908399	0.002359971	0.0025152	0.004322448	0.002712554	0.001515764	0.001943492	0.000257567	0.005970106
H6PD	0.054089001	0.069377454	0.060419468	0.073395067	0.036026147	0.053050288	0.076095244	0.057950589	0.065268224
SPSB1	0.034207869	0.024433738	0.029636491	0.03424335	0.044828523	0.070267545	0.013969752	0.116435773	0.06512667
SLC25A33	0.152706381	0.225711798	0.213478146	0.309443207	0.213541567	0.182854169	0.22867476	0.140644982	0.18868389
TMEM201	0.013317051	0.008370245	0.006824422	0.013262881	0.007830175	0.01067072	0.014712421	0.003091313	0.006072601
PIK3CD	0.076182562	0.054094799	0.052958448	0.071593435	0.067251983	0.098628996	0.067346714	0.080033905	0.044926433
PIK3CD.AS1	0.002567209	0.00135482	0.001796585	0.002044955	0.001156866	0.002030585	0.001098336	0.00127482	0.000853599
PIK3CD.AS2	0.003258534	0.001654731	0.002452182	0.000651556	0.002967083	0.000827303	0.001327089	0.000385072	0.003236824
CLSTN1	0.102583627	0.091760793	0.081214905	0.086607528	0.115685909	0.080366982	0.092489817	0.072271969	0.095598807
CTNNBIP1	0.153617617	0.192602814	0.1609368	0.12423877	0.147133746	0.123952484	0.114475274	0.146241613	0.130166543
LZIC	0.114371811	0.116328168	0.129666866	0.111728971	0.106630011	0.113341699	0.101479413	0.102295264	0.128205338
NMNAT1	0.024457057	0.021431288	0.027876939	0.018867907	0.012863366	0.020676706	0.028710522	0.010868402	0.01810974
RBP7	0.072306011	0.107221459	0.038771273	0.043544795	0.028350535	0.065293131	0.075164161	0.443946839	0.102083115
UBE4B	0.066254889	0.064200075	0.058496518	0.054815607	0.056483087	0.060710896	0.07893017	0.058420803	0.066936807
KIF1B	0.219672873	0.149153985	0.098126968	0.127643532	0.163516518	0.15736402	0.247018625	0.209156076	0.230186064
PGD	0.449204851	0.354533314	0.418558417	0.309898597	0.510839246	0.610534949	0.318245825	0.771673541	0.671652393
APITD1.CORT	0.005334285	0.003713647	0.007580603	0.003072325	0.002484543	0.002030915	0.003209454	0.002504584	0.004443437
APITD1	0.003949499	0.001560916	0.001899022	0.002981299	0.001129585	0.002061017	0.001424732	0.001093292	0.001635653
DFFA	0.069892276	0.05543371	0.065418895	0.053284312	0.047450932	0.057974619	0.061056903	0.03480358	0.069468316
PEX14	0.033563687	0.020360822	0.037955639	0.02700364	0.019435072	0.022176493	0.026967059	0.011443694	0.026442156
CASZ1	0.005489982	0.003492644	0.001652239	0.002917356	0.007568254	0.013668217	0.003316299	0.006124483	0.006668685
C1orf127	0.008229209	0.001932432	0.006004788	0.003756247	0.000846275	0	0.00591003	0.000988008	0.000961173
TARDBP	0.132620752	0.105828965	0.115746492	0.096132939	0.094842201	0.099676939	0.172802121	0.097785147	0.112938584
RP4.635E18.8	0.00347052	0.001370033	0.000792512	0.001523008	0.002781605	0.000523803	0.004989714	0.006556876	0.00518924
SRM	0.189562663	0.231480724	0.255212486	0.148754848	0.087667948	0.253010713	0.137541003	0.163721401	0.21759218
EXOSC10	0.098491656	0.07379392	0.086087462	0.086139073	0.066241431	0.067254073	0.09890612	0.051925242	0.079043867
MTOR	0.06220545	0.076274426	0.062233176	0.058615372	0.055140548	0.046977597	0.062361594	0.053337245	0.044387189
UBIAD1	0.044847833	0.034543175	0.055288431	0.04192598	0.030984252	0.039142943	0.049202044	0.021480327	0.044126758
FBXO2	0.000947585	0	0.000254792	0.000174359	0.000832918	0.001204737	0.000131633	0.000453416	0.00026017
FBXO44	0.029313136	0.019365767	0.022846353	0.028049844	0.023336833	0.013865803	0.031069113	0.009241669	0.020165912
FBXO6	0.091498244	0.0546778	0.06804328	0.036310087	0.088939449	0.27765367	0.051308078	0.063031578	0.078997803
MAD2L2	0.14381542	0.143785688	0.139530244	0.110945792	0.178350259	0.244635955	0.107439825	0.17147947	0.1651211
DRAXIN	0.002330632	0	0.00308909	0.001296576	0.004282026	0.001321201	0.001059177	0.001899156	0.002331657
AGTRAP	0.28927812	0.359313874	0.267577203	0.185285298	0.281248339	0.55507667	0.247925885	0.606083882	0.435685437
MTHFR	0.084186962	0.048211294	0.054706872	0.05524053	0.070622736	0.095283263	0.099069452	0.101888239	0.066309424
CLCN6	0.058021362	0.045305643	0.049373473	0.047844288	0.039325734	0.052121479	0.097023636	0.041683267	0.045608049
NPPA.AS1	0.004597914	0.004235116	0.002617347	0.002197951	0.0033586	0.006793278	0.006870707	0.006630499	0.008213952
KIAA2013	0.084255802	0.041057687	0.044820386	0.029316863	0.026140085	0.040811589	0.069109704	0.035927355	0.054243966
PLOD1	0.147143288	0.106656768	0.120949279	0.087429983	0.066838541	0.104969056	0.10427079	0.078936021	0.169422062
MFN2	0.076177492	0.060713657	0.052553218	0.045596032	0.061652449	0.072430851	0.073098863	0.091964885	0.07577075
MIIP	0.13553684	0.07574426	0.105855551	0.082521157	0.097336017	0.204429818	0.116246676	0.090821252	0.11296352
TNFRSF8	0.013763002	0.032421734	0.014840298	0.019360331	0.027489074	0.025975465	0.015455869	0.045020399	0.022325844
TNFRSF1B	0.721793419	1.118168987	0.757032113	0.830131395	1.152462235	0.955371988	0.853263387	1.721018462	0.790832706
VPS13D	0.088494839	0.086047633	0.064260828	0.077697992	0.106279788	0.077833124	0.107651844	0.107327374	0.070373521
DHRS3	0.168121742	0.106238036	0.163524007	0.13205528	0.079438314	0.113041788	0.129151676	0.08402115	0.271347793
RP11.474O21.5	0.002689325	0.004708996	0.004852189	0.007795383	0.010609881	0.006355595	0.003226465	0.01437852	0.012886217
PDPN	0.09326012	0.032702869	0.058409978	0.037383885	0.058332754	0.009060617	0.005368135	0.002873077	0.061237563
PRDM2	0.113899953	0.11802401	0.090530585	0.114857797	0.142351675	0.134381984	0.164905352	0.1567835	0.141021249
KAZN	0.000357598	0.000858549	0	0.000699525	0.001059941	0	0.000589551	0.001265033	0.002924426
TMEM51.AS1	0.005262778	0.000786125	0.002609529	0.002782646	0.001489831	0.002712215	0.002180987	0.000920356	0.005219191
TMEM51	0.267806505	0.173382236	0.300676506	0.220607395	0.198829942	0.162374071	0.132099966	0.055277668	0.203386417
FHAD1	0.048886281	0.018559379	0.047852719	0.028123371	0.038596622	0.046560028	0.01848244	0.010012834	0.064208293
RP3.467K16.2	0.002215263	0.00036913	0.002697417	0.000896863	0.000372014	0	0.000552659	0	0
RP3.467K16.4	0.001924443	0.003527299	0.000365177	0.002302739	0.003388417	0.000842904	0.002495396	0.005226428	0.003163029
EFHD2	0.608663841	0.78834457	0.861950093	0.585081297	0.613196849	1.198222096	0.407663225	1.029905914	0.654234966
CASP9	0.071509776	0.174145746	0.110537277	0.077968479	0.114892453	0.089239734	0.063491201	0.141865061	0.146792482
DNAJC16	0.032114184	0.018833122	0.03367562	0.023135619	0.01623974	0.020303293	0.02955485	0.013507345	0.019988305
DDI2	0.050541743	0.027715018	0.046941787	0.034063919	0.038273789	0.050164997	0.05801984	0.03542007	0.044508139
PLEKHM2	0.12944831	0.066171537	0.055225836	0.056786888	0.083227784	0.099259602	0.155034683	0.120802019	0.142102363
SLC25A34	0.01291011	0.004086225	0.002508645	0.004272457	0.006452775	0.012472154	0.008975642	0.012294636	0.014539195
UQCRHL	0.014750926	0.02156982	0.025893567	0.018178395	0.008186527	0.018509219	0.007728623	0.013383482	0.010255157
FLJ37453	0.066709278	0.033812143	0.043930067	0.06427358	0.058081119	0.035712356	0.09346838	0.032171213	0.040757516
SPEN	0.153786675	0.126417966	0.114783851	0.122575426	0.18269021	0.167562924	0.206477584	0.15976123	0.1329566
ZBTB17	0.054402768	0.037387314	0.039977862	0.037717329	0.062493528	0.045852734	0.047737327	0.071275555	0.074814817
EPHA2	0.013029955	0.012453468	0.01104332	0.01636072	0.035008107	0.005772984	0.008392076	0.006438576	0.009019749
ARHGEF19	0.009183814	0.005985646	0.005790073	0.005018553	0.003211274	0.006764454	0.009516293	0.005891873	0.009217328
RSG1	0.004724349	0.003312156	0.002265967	0.002511456	0.001394669	0.004305659	0.001844088	0.001027527	0.001906611
FBXO42	0.060039514	0.032391853	0.053435674	0.04094173	0.056149712	0.036588796	0.070294477	0.028784454	0.050269819
SZRD1	0.243006699	0.212342812	0.213495608	0.180614656	0.261946122	0.388321712	0.194133985	0.249433677	0.298071137
SPATA21	0.000412553	0.002108221	0.002172369	0.00093851	0.00063966	0	0.000485648	0.000355536	0.000288678
NECAP2	0.3203221	0.194447542	0.294792694	0.200917352	0.234057062	0.342925482	0.21788281	0.178734264	0.245718888
RP4.798A10.2	0.000346997	0	0.000673998	0.000197958	0.001895413	0.000877744	0.002106883	0.002504028	0.000732894
NBPF1	0.079971223	0.033703422	0.087286712	0.054493327	0.019577177	0.015524771	0.084372938	0.005685062	0.017508633
CROCC	0.020344168	0.013183224	0.016023788	0.016356525	0.015690977	0.013992354	0.026129187	0.012844886	0.011539277
RP11.108M9.4	0.143824671	0.150275225	0.122219458	0.145002153	0.161873421	0.061923782	0.148790402	0.161182933	0.115323472
RP11.108M9.6	0.008906894	0.001047523	0.002625927	0.006105202	0.005344772	0.005255197	0.008570603	0.000954992	0.002414563
MFAP2	0.002668748	0	0	0	0.001530293	0	0.001208969	0.000141599	0.002376695
ATP13A2	0.046842326	0.022268043	0.026036964	0.019923855	0.01779742	0.073449872	0.052987908	0.028695408	0.033538037
SDHB	0.371448024	0.367025113	0.382931395	0.282721077	0.315389319	0.460857959	0.261797386	0.287468472	0.357597568
PADI2	0.071040283	0.290371215	0.168702414	0.154159434	0.190353068	0.045710998	0.016282398	0.041908045	0.060032112
PADI4	0.005073592	0.038022289	0.008763441	0.005292899	0.017279846	0.023094752	0.005041557	0.166929124	0.025858255
RCC2	0.177071042	0.23679307	0.209886283	0.178361988	0.146886604	0.177636903	0.145348975	0.113609126	0.120295437
ARHGEF10L	0.13279867	0.116362225	0.087134452	0.105435644	0.125857782	0.149252216	0.180470851	0.078365656	0.0774747
IGSF21	0.247288411	0.003799954	0.117459108	0.268115115	0.074484148	0.013586758	0.365152816	0.001024046	0.010601191
ALDH4A1	0.009163984	0.006048527	0.010226948	0.00588753	0.004874668	0.005508026	0.011359647	0.008446727	0.008091634
IFFO2	0.016673308	0.012703613	0.004296033	0.014084881	0.024894274	0.02230634	0.0204399	0.015383738	0.016357033
UBR4	0.200201091	0.205814387	0.164116235	0.150218887	0.219800982	0.227524596	0.236760221	0.44580944	0.239464931
RP1.43E13.2	0.012168415	0.013572848	0.008214202	0.02135868	0.019076725	0.01825198	0.01624712	0.017707374	0.017245306
EMC1	0.055422361	0.047417398	0.051695304	0.041329165	0.039880284	0.051807518	0.058083542	0.03252638	0.050686377
MRTO4	0.076055748	0.074035422	0.077839316	0.053597126	0.05260793	0.084786594	0.079714894	0.038153947	0.06813447
AKR7A2	0.220423653	0.263671506	0.256528765	0.211452472	0.175317429	0.173854635	0.14286692	0.165285363	0.209967079
PQLC2	0.048849569	0.030004398	0.04518808	0.041998768	0.028602796	0.037341569	0.046215557	0.020189235	0.045463596
CAPZB	1.360122973	1.088174511	1.23851676	1.047046969	1.108561311	1.216667706	1.165524146	1.002073285	1.009138933
MINOS1	0.694626422	0.68834989	0.646861861	0.451906303	0.65004012	0.879805263	0.492898476	0.707873919	0.628642994
NBL1	0.03865696	0.000312162	0.013291091	0.011852697	0.005525096	0.004812313	0.033264783	0.000639936	0.004548865
TMCO4	0.03570204	0.025032633	0.031129311	0.034997223	0.025005675	0.035065227	0.040205643	0.018248089	0.01858444
OTUD3	0.011529124	0.007862946	0.009978488	0.011419929	0.009673553	0.018808939	0.018664189	0.008069531	0.010968532
PLA2G2A	0	0	0	0	0	0	0.004082529	0.000115806	0
PLA2G2D	0.018216812	0	0.002867438	0.002098237	0	0.006769453	0.00680373	0.000238874	0.009076842
RP3.340N1.2	0.002481695	0.000894016	0	0.000388453	0.000628703	0.001255583	0.001951219	0.000143156	0.006092965
PLA2G2C	0.000656922	0.001082879	0	0	0	0.000642729	0.000849395	0.002565251	0.00479209
UBXN10.AS1	0.001393955	0.004391755	0.00061121	0.001093547	0.000482137	0.000621875	0.002063646	0.004239585	0.007828423
UBXN10	0.000789889	0	0.000216435	0.000267335	0.000340347	0.001029248	0.001310826	0.000381553	0.004174309
CAMK2N1	0.001161044	0.001317947	0.001225118	0.002043113	0.001002438	0.0006361	0.003540079	0	0
MUL1	0.044668793	0.041270756	0.056884265	0.035864916	0.030974129	0.043542033	0.045105796	0.028591671	0.046331046
CDA	0.039926465	0.142019886	0.02963831	0.01319535	0.099582152	0.125023576	0.021299619	0.407302962	0.115761223
PINK1	0.092147679	0.112359485	0.125404931	0.129681911	0.043602279	0.048713376	0.084941547	0.056094971	0.056262045
PINK1.AS	0.001595242	0.002301221	0.002553125	0.003211246	0.001428775	0.000698896	0.003647916	0.001776719	0.002314177
DDOST	0.472429683	0.489816188	0.547090713	0.478647184	0.442516023	0.423432414	0.365630666	0.304056362	0.419598197
KIF17	0.019930073	0.009470203	0.022514716	0.024459381	0.030793545	0.014040991	0.014828667	0.001341834	0.001980377
HP1BP3	0.391619229	0.469160431	0.37817441	0.421483662	0.39274649	0.369950911	0.467674834	0.396802197	0.3518823
EIF4G3	0.095939513	0.130986864	0.097690342	0.099331455	0.118774954	0.150505897	0.120009979	0.156123272	0.133764674
ECE1	0.011156163	0.041227242	0.003843651	0.008485778	0.092264733	0.133801937	0.0117077	0.353919219	0.048954519
RP5.1071N3.1	0.000292205	0.000755308	0.000191041	0	0.001369228	0.002297548	0	0.003697082	0.000611928
NBPF3	0.00196344	0.000778322	0.002022285	0.002253179	0.001795892	0	0.001516084	0.000705345	0.003128547
ALPL	0	0	0	0	0	0	0.001294755	0.000170856	0
USP48	0.117378326	0.123227508	0.117056244	0.124250748	0.109479041	0.102333249	0.132956326	0.091747312	0.089464049
HSPG2	0.001671731	0.002215785	0.003426991	0.003109388	0.002398279	0	0.001757377	0.000212468	0.004455437
LINC00339	0.036211879	0.031314387	0.041047929	0.03752997	0.025070355	0.025242431	0.033901296	0.014301775	0.028149033
CDC42	0.943413134	0.889030937	0.843715341	0.805107281	1.152922141	1.161340555	0.971950585	1.187277796	1.000233053
RP1.224A6.9	0.000702404	0	0	0.000425738	0.00288575	0	0.000314304	0.001503398	0.00078012
